ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
ARM,12.0,353.93,2026-06-24,353.5002,353.5002,353.5002
COIN,30.0,147.48,2026-06-29,146.05,146.05,146.05
DELL,10.0,431.05,2026-06-24,430.39,430.39,430.39
INTU,16.0,267.62,2026-06-24,260.97,260.97,260.97
MRVL,16.0,270.65,2026-06-24,296.89,296.89,296.89
MU,4.0,1030.99,2026-06-24,1149.95,1149.95,1149.95
ORCL,30.0,147.99,2026-06-29,146.61,146.61,146.61
PANW,15.0,287.3,2026-06-24,340.26,340.26,340.26
PLTR,38.0,116.96,2026-06-29,116.6684,116.6684,116.6684
PLUG,1694.0,2.66,2026-06-24,2.7,2.7,2.7
QCOM,24.0,189.76,2026-06-29,184.9,184.9,184.9
SEDG,87.0,49.77,2026-06-24,58.43,58.43,58.43
SNAP,1031.0,4.544035,2026-06-24,4.4302,4.4302,4.4302
TEAM,55.0,80.349818,2026-06-29,77.79,77.79,77.79
TTD,239.0,17.97,2026-06-24,18.02,18.02,18.02
