ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
ARM,24.0,411.13,2026-06-22,383.37,383.37,383.37
AXON,17.0,455.16,2026-06-24,459.5429,459.5429,459.5429
CRWD,14.0,689.66,2026-06-22,678.0,678.0,678.0
DASH,45.0,177.56,2026-06-24,173.9241,173.9241,173.9241
DELL,22.0,430.013182,2026-06-22,423.0,423.0,423.0
FTNT,70.0,145.6,2026-06-22,145.0,145.0,145.0
INTC,71.0,139.119437,2026-06-22,140.25,140.25,140.25
MRVL,33.0,301.51,2026-06-22,290.09,290.09,290.09
PANW,34.0,288.6,2026-06-22,287.8,287.8,287.8
QCOM,43.0,229.34,2026-06-22,218.3861,218.3861,218.3861
