client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.78,287.32,18.83,16.74,2026-06-24T18:29:43.018819Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.435,113.497,5.46,4.89,2026-06-24T18:29:43.593257Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1031.63,1032.33,6.79,5.6,2026-06-24T18:29:42.525009Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.15,-49.18,-44.22,2026-06-24T18:29:42.153494Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,24.0,366.3,367.8587,42.55,37.41,2026-06-24T18:29:43.025706Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.875,238.94,2.72,2.4,2026-06-24T18:29:41.598764Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.235,131.34,8.0,7.14,2026-06-24T18:29:42.213689Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:42.417559Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:41.723926Z
mv4-2026-06-24-buy-AMD,AMD,buy,17.0,515.57,515.84,5.24,4.59,2026-06-24T18:29:43.435942Z
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.78,287.32,18.83,16.74,2026-06-24T18:29:43.018819Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.435,113.497,5.46,4.89,2026-06-24T18:29:43.593257Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1031.63,1032.33,6.79,5.6,2026-06-24T18:29:42.525009Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.15,-49.18,-44.22,2026-06-24T18:29:42.153494Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,24.0,366.3,367.8587,42.55,37.41,2026-06-24T18:29:43.025706Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.875,238.94,2.72,2.4,2026-06-24T18:29:41.598764Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.235,131.34,8.0,7.14,2026-06-24T18:29:42.213689Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:42.417559Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:41.723926Z
mv4-2026-06-24-buy-AMD,AMD,buy,17.0,515.57,515.84,5.24,4.59,2026-06-24T18:29:43.435942Z
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.78,287.32,18.83,16.74,2026-06-24T18:29:43.018819Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.435,113.497,5.46,4.89,2026-06-24T18:29:43.593257Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1031.63,1032.33,6.79,5.6,2026-06-24T18:29:42.525009Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.15,-49.18,-44.22,2026-06-24T18:29:42.153494Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,24.0,366.3,367.8587,42.55,37.41,2026-06-24T18:29:43.025706Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.875,238.94,2.72,2.4,2026-06-24T18:29:41.598764Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.235,131.34,8.0,7.14,2026-06-24T18:29:42.213689Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:42.417559Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:41.723926Z
