ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
AMD,17.0,515.84,2026-06-24,518.49,518.49,518.49
ARM,25.0,353.93,2026-06-24,330.5,330.5,330.5
DELL,20.0,431.34,2026-06-24,398.29,398.29,398.29
INTC,68.0,131.34,2026-06-24,127.59,127.59,127.59
KLAC,37.0,238.94,2026-06-24,247.24,247.24,247.24
LRCX,24.0,367.85875,2026-06-24,376.98,376.98,376.98
MRVL,33.0,271.15,2026-06-24,265.0,265.0,265.0
MU,8.0,1032.33,2026-06-24,1136.75,1136.75,1136.75
ON,79.0,113.496962,2026-06-24,90.2,90.2,90.2
PANW,31.0,287.32,2026-06-24,303.36,303.36,303.36
