ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
DELL,62,153.2294,2026-03-02,419.32,465.96,143.3564
MRVL,75,131.4313,2026-04-13,289.54,316.43,131.3
ARM,46,216.0959,2026-04-27,418.88,418.88,198.65
INTC,123,94.8447,2026-04-29,121.1,129.44,94.48
QCOM,56,218.5021,2026-05-08,212.97,250.0963,191.2
DDOG,59,200.1399,2026-05-12,226.63,277.49,199.94
PANW,46,247.7976,2026-05-18,282.13,300.48,240.13
SEDG,183,55.2852,2026-05-18,54.68,78.51,54.53
CRWD,18,617.4969,2026-05-19,682.96,782.17,616.88
FTNT,89,130.13,2026-05-20,144.14,149.67,127.93
