rank,ticker,score,gate
1,ARM,0.9458,yes
2,LRCX,0.9428,yes
3,KLAC,0.9331,yes
4,AMAT,0.9157,yes
5,HOOD,0.8988,yes
6,AMD,0.8729,yes
7,MRVL,0.8608,yes
8,ASML,0.8524,yes
9,INTC,0.8235,yes
10,MU,0.8223,yes
11,GE,0.7964,yes
12,DASH,0.7614,yes
13,ANET,0.7229,yes
14,MCHP,0.7163,yes
15,BA,0.6789,no
16,FTNT,0.6777,no
17,GS,0.6747,no
18,PANW,0.6675,no
19,ON,0.6633,no
20,SOFI,0.659,no
21,RBLX,0.6488,no
22,DELL,0.6367,no
23,ABNB,0.6313,no
24,CRWD,0.6289,no
25,VST,0.6283,no
26,NXPI,0.6187,no
27,TXN,0.606,no
28,BAC,0.5976,no
29,TSM,0.5904,no
30,OKTA,0.5747,no
31,NU,0.5747,no
32,MELI,0.5639,no
33,SNOW,0.5578,no
34,UBER,0.5578,no
35,SNAP,0.5506,no
36,DDOG,0.55,no
37,ADI,0.5446,no
38,JPM,0.5361,no
39,SHOP,0.5349,no
40,PYPL,0.5211,no
41,SE,0.5151,no
42,LLY,0.5108,no
43,CDNS,0.5054,no
44,QCOM,0.5,no
45,NET,0.4958,no
46,PFE,0.4735,no
47,APP,0.4723,no
48,COIN,0.4693,no
49,MDB,0.4657,no
50,PLTR,0.4524,no
51,IBM,0.4428,no
52,META,0.4367,no
53,PINS,0.4283,no
54,AXON,0.4247,no
55,TSLA,0.3898,no
56,SPOT,0.3783,no
57,NVDA,0.3777,no
58,NFLX,0.3633,no
59,VRT,0.3627,no
60,AAPL,0.3536,no
61,GOOGL,0.3512,no
62,AMZN,0.3506,no
63,AVGO,0.3422,no
64,TTD,0.3343,no
65,NOW,0.3307,no
66,CSCO,0.3301,no
67,SNPS,0.2946,no
68,TEAM,0.294,no
69,MSFT,0.2801,no
70,SMCI,0.2693,no
71,ORCL,0.2657,no
72,COST,0.262,no
73,TWLO,0.2464,no
74,OXY,0.2313,no
75,ADBE,0.2307,no
76,WDAY,0.2295,no
77,SEDG,0.2066,no
78,CRM,0.1952,no
79,ZS,0.1867,no
80,SAP,0.1434,no
81,HUBS,0.1102,no
82,INTU,0.1078,no
83,PLUG,0.05,no
