date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2026-06-22,83283.54,16818.9784,100102.52,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-23,66753.53,30645.239999999998,97398.77,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,51199.62,45705.003000000004,96903.33,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,43303.29,53631.4054,96933.15,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,55689.3,42382.8461,98071.82,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,49578.14,48964.5,98542.64,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,49578.09,49354.5185,98929.25,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,49578.09,49290.9889,98869.08,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,49578.09,48718.88,98296.97,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,49578.09,48705.18,98283.27,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,49578.09,48780.65,98358.74,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-26,49578.09,48472.9141,98051.0,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-26,49578.09,48349.7401,97927.83,0.0,0.0,,,0.0,0.0,0.0,,1.0
