client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-22-buy-TSM,TSM,buy,18.0,475.5,468.28,-151.84,-129.96,2026-06-22T15:23:33.838382506Z
mv4-2026-06-22-buy-SMCI,SMCI,buy,240.0,35.325,35.34,4.25,3.6,2026-06-22T15:23:33.956576526Z
mv4-2026-06-22-buy-ON,ON,buy,64.0,130.7,130.93,17.6,14.72,2026-06-22T15:23:33.122513Z
mv4-2026-06-22-buy-MU,MU,buy,7.0,1182.785,1182.65,-1.14,-0.94,2026-06-22T15:23:33.610485Z
mv4-2026-06-22-buy-INTC,INTC,buy,61.0,139.25,139.26,0.72,0.61,2026-06-22T15:23:33.091696Z
mv4-2026-06-22-buy-HOOD,HOOD,buy,79.0,107.34,107.37,2.79,2.37,2026-06-22T15:23:32.691288Z
mv4-2026-06-22-buy-DELL,DELL,buy,19.0,436.0,430.2,-133.03,-110.2,2026-06-22T15:23:33.754136Z
mv4-2026-06-22-buy-DASH,DASH,buy,48.0,174.475,174.58,6.02,5.04,2026-06-22T15:23:33.760693Z
mv4-2026-06-22-buy-AMD,AMD,buy,15.0,550.52,547.7,-51.22,-42.3,2026-06-22T15:23:32.641097Z
mv4-2026-06-22-buy-AMAT,AMAT,buy,13.0,625.55,628.13,41.24,33.54,2026-06-22T15:23:33.630801Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,313.0,74.925,75.23,40.71,95.47,2026-06-23T21:29:16.134569Z
mv4-2026-06-23-sell-SMCI,SMCI,sell,240.0,33.515,33.45,19.39,15.6,2026-06-23T21:29:16.421316Z
mv4-2026-06-23-sell-ON,ON,sell,64.0,117.86,117.42,37.33,28.16,2026-06-23T21:29:16.11561Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,313.0,74.925,75.23,40.71,95.47,2026-06-23T21:29:16.134569Z
mv4-2026-06-23-sell-SMCI,SMCI,sell,240.0,33.515,33.45,19.39,15.6,2026-06-23T21:29:16.421316Z
mv4-2026-06-23-sell-ON,ON,sell,64.0,117.86,117.42,37.33,28.16,2026-06-23T21:29:16.11561Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,313.0,74.925,75.23,40.71,95.47,2026-06-23T21:29:16.134569Z
mv4-2026-06-23-sell-SMCI,SMCI,sell,240.0,33.515,33.45,19.39,15.6,2026-06-23T21:29:16.421316Z
mv4-2026-06-23-sell-ON,ON,sell,64.0,117.86,117.42,37.33,28.16,2026-06-23T21:29:16.11561Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,463.9506,87.42,68.35,2026-06-24T20:43:08.855125Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,313.0,74.925,75.23,40.71,95.47,2026-06-23T21:29:16.134569Z
mv4-2026-06-23-sell-SMCI,SMCI,sell,240.0,33.515,33.45,19.39,15.6,2026-06-23T21:29:16.421316Z
mv4-2026-06-23-sell-ON,ON,sell,64.0,117.86,117.42,37.33,28.16,2026-06-23T21:29:16.11561Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,463.9506,87.42,68.35,2026-06-24T20:43:08.855125Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,313.0,74.925,75.23,40.71,95.47,2026-06-23T21:29:16.134569Z
mv4-2026-06-23-sell-SMCI,SMCI,sell,240.0,33.515,33.45,19.39,15.6,2026-06-23T21:29:16.421316Z
mv4-2026-06-23-sell-ON,ON,sell,64.0,117.86,117.42,37.33,28.16,2026-06-23T21:29:16.11561Z
mv4-2026-06-22-buy-LRCX,LRCX,buy,20.0,406.645,410.5,94.8,77.1,2026-06-22T21:58:48.290188Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,463.9506,87.42,68.35,2026-06-24T20:43:08.855125Z
