date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2026-06-22,16519.37,83511.795,100035.42,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-22,16519.37,83854.9084,100374.28,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-23,8309.36,86523.08,94832.51,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,305.18,94609.535,94915.57,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,305.18,94785.215,95087.76,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,19226.9,77267.9737,96494.73,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-24,15564.84,81583.2659,97148.11,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,15564.77,81901.8196,97466.59,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,15564.77,81880.7478,97445.52,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,7478.68,88023.5606,95502.24,0.0,0.0,,,0.0,0.0,0.0,,1.0
2026-06-25,7478.68,87978.86,95457.54,0.0,0.0,,,0.0,0.0,0.0,,1.0
