ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
AMAT,13.0,628.13,2026-06-22,695.0,695.0,695.0
AMD,15.0,547.7,2026-06-22,540.11,540.11,540.11
AXON,17.0,463.950588,2026-06-24,510.6,510.6,510.6
DASH,48.0,174.58,2026-06-22,184.82,184.82,184.82
DELL,19.0,430.2,2026-06-22,414.6984,414.6984,414.6984
HOOD,79.0,107.37,2026-06-22,101.63,101.63,101.63
INTC,61.0,139.26,2026-06-22,131.72,131.72,131.72
KLAC,32.0,252.690313,2026-06-25,277.65,277.65,277.65
LRCX,20.0,410.5,2026-06-23,412.3326,412.3326,412.3326
MU,7.0,1182.65,2026-06-22,1142.5,1142.5,1142.5
TSM,18.0,468.28,2026-06-22,454.5,454.5,454.5
