client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.94,287.3,12.55,11.16,2026-06-24T18:29:48.96045Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.385,113.4,1.32,1.19,2026-06-24T18:29:49.613014Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1030.98,1031.5975,5.99,4.94,2026-06-24T18:29:48.662401Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.02,-53.95,-48.51,2026-06-24T18:29:48.12429Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,25.0,357.41,367.67,287.07,256.5,2026-06-24T18:29:47.213032Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.84,238.87,1.26,1.11,2026-06-24T18:29:46.85423Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.225,131.2724,3.61,3.22,2026-06-24T18:29:47.147566Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:47.846844Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:48.012283Z
mv4-2026-06-24-buy-AMD,AMD,buy,17.0,515.02,515.7947,15.04,13.17,2026-06-24T18:29:47.895811Z
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.94,287.3,12.55,11.16,2026-06-24T18:29:48.96045Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.385,113.4,1.32,1.19,2026-06-24T18:29:49.613014Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1030.98,1031.5975,5.99,4.94,2026-06-24T18:29:48.662401Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.02,-53.95,-48.51,2026-06-24T18:29:48.12429Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,25.0,357.41,367.67,287.07,256.5,2026-06-24T18:29:47.213032Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.84,238.87,1.26,1.11,2026-06-24T18:29:46.85423Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.225,131.2724,3.61,3.22,2026-06-24T18:29:47.147566Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:47.846844Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:48.012283Z
mv4-2026-06-24-buy-AMD,AMD,buy,17.0,515.02,515.7947,15.04,13.17,2026-06-24T18:29:47.895811Z
mv4-2026-06-24-buy-PANW,PANW,buy,31.0,286.94,287.3,12.55,11.16,2026-06-24T18:29:48.96045Z
mv4-2026-06-24-buy-ON,ON,buy,79.0,113.385,113.4,1.32,1.19,2026-06-24T18:29:49.613014Z
mv4-2026-06-24-buy-MU,MU,buy,8.0,1030.98,1031.5975,5.99,4.94,2026-06-24T18:29:48.662401Z
mv4-2026-06-24-buy-MRVL,MRVL,buy,33.0,272.49,271.02,-53.95,-48.51,2026-06-24T18:29:48.12429Z
mv4-2026-06-24-buy-LRCX,LRCX,buy,25.0,357.41,367.67,287.07,256.5,2026-06-24T18:29:47.213032Z
mv4-2026-06-24-buy-KLAC,KLAC,buy,37.0,238.84,238.87,1.26,1.11,2026-06-24T18:29:46.85423Z
mv4-2026-06-24-buy-INTC,INTC,buy,68.0,131.225,131.2724,3.61,3.22,2026-06-24T18:29:47.147566Z
mv4-2026-06-24-buy-DELL,DELL,buy,20.0,442.78,431.34,-258.37,-228.8,2026-06-24T18:29:47.846844Z
mv4-2026-06-24-buy-ARM,ARM,buy,25.0,351.695,353.93,63.55,55.88,2026-06-24T18:29:48.012283Z
mv4-2026-06-24-buy-AMD,AMD,buy,17.0,515.02,515.7947,15.04,13.17,2026-06-24T18:29:47.895811Z
