ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
AMD,17.0,515.794706,2026-06-24,527.89,527.89,527.89
ARM,25.0,353.93,2026-06-24,346.0,346.0,346.0
DELL,20.0,431.34,2026-06-24,405.8,405.8,405.8
INTC,68.0,131.272353,2026-06-24,131.1412,131.1412,131.1412
KLAC,37.0,238.87,2026-06-24,255.62,255.62,255.62
LRCX,25.0,367.67,2026-06-24,400.0,400.0,400.0
MRVL,33.0,271.02,2026-06-24,276.84,276.84,276.84
MU,8.0,1031.5975,2026-06-24,1178.0,1178.0,1178.0
ON,79.0,113.4,2026-06-24,108.01,108.01,108.01
PANW,31.0,287.3,2026-06-24,292.85,292.85,292.85
