client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-25-buy-TWLO,TWLO,buy,49.0,181.45,185.38,216.59,192.57,2026-06-25T14:04:53.677456Z
mv4-2026-06-25-buy-SNAP,SNAP,buy,2071.0,4.345,4.35,11.51,10.35,2026-06-25T14:04:53.874728Z
mv4-2026-06-25-buy-SAP,SAP,buy,59.0,151.27,151.482,14.02,12.51,2026-06-25T14:04:56.475368Z
mv4-2026-06-25-buy-PLUG,PLUG,buy,3564.0,2.525,2.53,19.8,17.82,2026-06-25T14:04:53.214588Z
mv4-2026-06-25-buy-ORCL,ORCL,buy,59.0,155.1,152.48,-168.92,-154.58,2026-06-25T14:04:53.555591Z
mv4-2026-06-25-buy-NVDA,NVDA,buy,46.0,193.95,194.02,3.61,3.22,2026-06-25T14:04:52.97256Z
mv4-2026-06-25-buy-MSFT,MSFT,buy,25.0,357.86,358.13,7.54,6.75,2026-06-25T14:04:53.218317Z
mv4-2026-06-25-buy-INTU,INTU,buy,34.0,259.295,261.35,79.25,69.87,2026-06-25T14:04:52.921648Z
mv4-2026-06-25-buy-GOOGL,GOOGL,buy,26.0,341.255,340.67,-17.14,-15.21,2026-06-25T14:04:52.472051Z
mv4-2026-06-25-buy-AAPL,AAPL,buy,32.0,279.815,279.9219,3.82,3.42,2026-06-25T14:04:53.373931Z
