ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
AAPL,32.0,279.921875,2026-06-25,283.78,283.78,283.78
GOOGL,26.0,340.67,2026-06-25,337.39,337.39,337.39
INTU,34.0,261.35,2026-06-25,267.72,267.72,267.72
MSFT,25.0,358.13,2026-06-25,372.97,372.97,372.97
NVDA,46.0,194.02,2026-06-25,192.53,192.53,192.53
ORCL,59.0,152.48,2026-06-25,148.53,148.53,148.53
PLUG,3564.0,2.53,2026-06-25,2.54,2.54,2.54
SAP,59.0,151.482034,2026-06-25,155.09,155.09,155.09
SNAP,2071.0,4.35,2026-06-25,4.41,4.41,4.41
TWLO,49.0,185.38,2026-06-25,191.57,191.57,191.57
