client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-26-buy-QCOM-2,QCOM,buy,47.0,187.81,189.99,116.07,102.46,2026-06-26T20:25:04.418377958Z
mv4-2026-06-26-sell-ADI-2,ADI,sell,23.0,385.89,384.0,48.98,43.47,2026-06-26T20:25:04.412376429Z
mv4-2026-06-26-sell-SEDG,SEDG,sell,1.0,51.75,51.5,48.31,0.25,2026-06-26T20:35:27.976259066Z
mv4-2026-06-26-sell-ON-2,ON,sell,1.0,91.775,90.2,171.62,1.58,2026-06-26T20:35:28.073512897Z
mv4-2026-06-26-sell-NXPI,NXPI,sell,1.0,277.675,272.52,185.65,5.16,2026-06-26T20:35:27.823789808Z
mv4-2026-06-26-sell-SEDG,SEDG,sell,1.0,51.75,51.5,48.31,0.25,2026-06-26T20:35:27.976259Z
mv4-2026-06-26-sell-ON-2,ON,sell,1.0,91.775,90.2,171.62,1.58,2026-06-26T20:35:28.073513Z
mv4-2026-06-26-sell-NXPI,NXPI,sell,1.0,277.675,272.52,185.65,5.16,2026-06-26T20:35:27.82379Z
mv4-2026-06-29-sell-QCOM,QCOM,sell,47.0,190.15,188.82,69.94,62.51,2026-06-29T19:40:28.779667Z
mv4-2026-06-29-sell-ORCL,ORCL,sell,59.0,147.85,148.64,-53.43,-46.61,2026-06-29T19:40:29.366166Z
mv4-2026-06-29-buy-ON,ON,buy,5.0,87.53,88.072,61.92,2.71,2026-06-29T19:40:28.30302Z
mv4-2026-06-29-sell-NVDA,NVDA,sell,44.0,194.82,194.8059,0.72,0.62,2026-06-29T19:40:30.189889Z
mv4-2026-06-29-buy-MCHP,MCHP,buy,98.0,90.195,88.13,-228.95,-202.37,2026-06-29T19:40:27.525698Z
mv4-2026-06-29-buy-CSCO,CSCO,buy,75.0,117.645,117.62,-2.13,-1.88,2026-06-29T19:40:28.650108Z
mv4-2026-06-29-sell-ARM,ARM,sell,2.0,360.365,343.2,476.32,34.33,2026-06-29T19:40:28.503559Z
mv4-2026-06-29-buy-AAPL,AAPL,buy,31.0,282.135,282.18,1.59,1.4,2026-06-29T19:40:27.388149Z
mv4-2026-06-26-sell-SEDG,SEDG,sell,1.0,51.75,51.5,48.31,0.25,2026-06-26T20:35:27.976259Z
mv4-2026-06-26-sell-ON-2,ON,sell,1.0,91.775,90.2,171.62,1.58,2026-06-26T20:35:28.073513Z
mv4-2026-06-26-sell-NXPI,NXPI,sell,1.0,277.675,272.52,185.65,5.16,2026-06-26T20:35:27.82379Z
