ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
ARM,26.0,342.995014,2026-06-25,330.5,330.5,330.5
AVGO,24.0,377.688333,2026-06-25,364.03,364.03,364.03
MRVL,33.0,267.148824,2026-06-25,265.0,265.0,265.0
NVDA,44.0,192.53,2026-06-26,192.19,192.19,192.19
NXPI,31.0,284.13,2026-06-26,273.0,273.0,273.0
ON,96.0,93.733674,2026-06-26,90.2,90.2,90.2
ORCL,59.0,151.704407,2026-06-25,148.3,148.3,148.3
QCOM,47.0,189.99,2026-06-26,188.5,188.5,188.5
SEDG,171.0,52.3,2026-06-26,51.55,51.55,51.55
TXN,31.0,301.580968,2026-06-26,282.0,282.0,282.0
