client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-25-buy-TWLO,TWLO,buy,49.0,181.45,185.61,229.26,203.84,2026-06-25T14:04:47.50907Z
mv4-2026-06-25-buy-SNAP,SNAP,buy,2071.0,4.345,4.35,11.51,10.35,2026-06-25T14:04:48.166411Z
mv4-2026-06-25-buy-SEDG,SEDG,buy,179.0,50.025,49.1,-184.91,-165.57,2026-06-25T14:04:47.558889Z
mv4-2026-06-25-buy-SAP,SAP,buy,59.0,151.325,151.54,14.21,12.69,2026-06-25T14:04:47.970969Z
mv4-2026-06-25-buy-PLUG,PLUG,buy,3564.0,2.525,2.53,19.8,17.82,2026-06-25T14:04:47.153864Z
mv4-2026-06-25-buy-ORCL,ORCL,buy,59.0,151.25,152.4885,81.88,73.07,2026-06-25T14:04:48.185019Z
mv4-2026-06-25-buy-NVDA,NVDA,buy,46.0,193.94,194.0033,3.26,2.91,2026-06-25T14:04:47.360429Z
mv4-2026-06-25-buy-MSFT,MSFT,buy,25.0,358.18,358.2048,0.69,0.62,2026-06-25T14:04:48.060383Z
mv4-2026-06-25-buy-MDB,MDB,buy,29.0,302.35,297.39,-164.05,-143.84,2026-06-25T14:04:48.0833Z
mv4-2026-06-25-buy-DDOG,DDOG,buy,41.0,216.625,218.27,75.94,67.45,2026-06-25T14:04:47.147482Z
