ticker,shares,entry_price,entry_date,current_price,highest_price,lowest_price
DDOG,41.0,218.27,2026-06-25,239.53,239.53,239.53
MDB,29.0,297.39,2026-06-25,314.67,314.67,314.67
MSFT,25.0,358.2048,2026-06-25,372.51,372.51,372.51
NVDA,46.0,194.003261,2026-06-25,192.14,192.14,192.14
ORCL,59.0,152.488475,2026-06-25,148.3,148.3,148.3
PLUG,3564.0,2.53,2026-06-25,2.55,2.55,2.55
SAP,59.0,151.54,2026-06-25,155.09,155.09,155.09
SEDG,179.0,49.1,2026-06-25,51.55,51.55,51.55
SNAP,2071.0,4.35,2026-06-25,4.42,4.42,4.42
TWLO,49.0,185.61,2026-06-25,191.6327,191.6327,191.6327
