ticker,eligible,entry_filter,stop_loss,take_profit,trailing_stop,max_holding_days,active_return,hold_return,excess,active_dd,hold_dd,active_sharpe,hold_sharpe,total_trades,win_rate,profit_factor,slippage_cost,oos_active_return,oos_hold_return,oos_excess,oos_active_sharpe
NVDA,False,above_50ma,0.075,,,60,7.031468974795999,7.064267163774835,-0.032798188978835796,-0.36048763785706467,-0.663351021133624,1.3975285814721008,1.2234775317523927,18,0.5294117647058824,4.280760574329704,0.13376296944054775,,,,
MSFT,True,above_50ma,0.075,0.2,0.1,30,1.254522692580725,0.9047534388701421,0.34976925371058276,-0.23272144076716356,-0.3714848841674588,1.1159183173359086,0.7348205675405358,26,0.6,2.80502273947806,0.07688277609348132,-0.1630963261358248,-0.17751985624708566,0.014423530111260852,-0.8370782751280708
AAPL,False,qqq_above_50ma,0.075,0.15,,30,0.4968268026703573,0.5600257077273267,-0.06319890505696946,-0.28662751227573874,-0.3336051995314504,0.6114025859532467,0.5328447650495546,27,0.5769230769230769,1.877640990005806,0.06601920177006278,,,,
AMZN,True,qqq_above_50ma,0.1,0.15,,60,1.0605361618393485,0.26033216197484466,0.8002039998645039,-0.4072080155497265,-0.5614526325328256,0.804965656385257,0.3416581321577042,21,0.6,2.031874001420691,0.04892556514274421,0.10191411040718834,0.11869253848525685,-0.016778428078068508,0.4772154450369162
GOOGL,True,qqq_above_50ma,0.075,0.15,,60,0.713866450804191,0.4435297052146212,0.27033674558956977,-0.3010448333888258,-0.44320042541711085,0.6664534049574876,0.44900366503985933,25,0.5,1.781582910294999,0.06268813634015609,0.6754827780438406,1.0529658848838768,-0.37748310684003616,1.9991924660220555
META,True,qqq_above_50ma,0.075,,0.1,60,3.418901988267442,1.0685567385984598,2.3503452496689823,-0.3968665372866735,-0.7673609057246623,1.293715013311299,0.6301504802605796,21,0.55,4.262411865385817,0.0680785650056653,-0.2911020233638193,-0.17972075149143285,-0.11138127187238644,-0.9447902475281452
TSLA,True,composite,0.1,,,30,1.4017057792810501,0.5498550280413503,0.8518507512396998,-0.4185927372817545,-0.7363221744219123,0.7321132013990842,0.4859431734180382,23,0.5217391304347826,2.0781526937886556,0.06682332557253204,0.23156636305984635,0.27363608577781906,-0.04206972271797271,0.8025417511198906
NFLX,True,above_50ma,0.1,0.2,,60,3.9945461032821523,1.430594775034424,2.5639513282477284,-0.27097179604230603,-0.7594731825161352,1.4044048680071453,0.7304304425059017,23,0.6818181818181818,3.3453235196404267,0.09768908165234973,-0.2304283325130273,-0.3387817796470485,0.10835344713402117,-0.9420951286145776
AVGO,False,above_50ma,0.1,0.2,0.15,60,4.265143576865204,4.90034825582333,-0.635204678958126,-0.3807222016758517,-0.41149680380312187,1.2935797272808336,1.252102132402298,24,0.6521739130434783,3.9388619438030874,0.11245732189115214,,,,
AMD,True,above_50ma,0.1,0.15,0.1,30,0.9057181280931808,0.4530962055855585,0.45262192250762223,-0.4813943507771481,-0.6544994295506885,0.6269291798179157,0.43948720817576414,36,0.4857142857142857,1.5678344979581933,0.12791773506945522,2.0555195991690907,3.317046475309863,-1.2615268761407723,2.2208442255780825
TSM,True,above_50ma,0.1,0.2,,30,1.5887859117468128,0.9178135585049774,0.6709723532418355,-0.31299031335806693,-0.5646658083959184,0.9342681923330183,0.6218946482288439,25,0.5416666666666666,2.931043288233364,0.059710893515311836,0.6756943552928121,0.9895949480327466,-0.31390059273993454,1.6581920555276488
ASML,True,above_50ma,0.075,,,30,0.28795421809507316,0.15120747431083936,0.1367467437842338,-0.4680310388608748,-0.5686184152533875,0.3636163760509404,0.29537252759294885,25,0.4583333333333333,1.250157830567731,0.05217286938875577,1.0328446168929228,1.3888702589588098,-0.35602564206588694,1.9511274317062464
MU,True,qqq_above_50ma,0.075,0.2,,30,0.7106978873578262,0.47644953488421815,0.2342483524736081,-0.468835255531174,-0.576289807431107,0.5454123119207347,0.4436260072890898,37,0.4722222222222222,1.3945797559943807,0.07228243507519577,4.669123993942124,7.469268309251795,-2.8001443153096712,3.0806296711727974
ORCL,True,ret20_pos,0.1,0.15,,60,1.6478433908115635,1.562530289196431,0.0853131016151325,-0.2875915103768583,-0.40364809568529486,0.9964757856154068,0.8587760210156453,21,0.55,2.3109300927792873,0.06654320461407719,0.4363490726033783,-0.06946180030890081,0.5058108729122791,0.9008230070029085
CRWD,True,ret20_pos,0.1,0.15,0.1,30,2.4547701771669788,1.0628185393928709,1.391951637774108,-0.37524130330488575,-0.6769220151886319,0.9749565928419229,0.6103595549887467,43,0.5476190476190477,1.8988092516568864,0.13486529368035616,0.5845313449844989,0.41739142719166633,0.16713991779283255,1.4777827113264776
PANW,False,qqq_above_50ma,0.075,0.2,0.15,60,1.7235820306127043,2.2268263594167923,-0.503244328804088,-0.3339603637326461,-0.35999425948732816,0.8867535972805918,0.9091017267248103,25,0.5,2.21060135015797,0.08882745284862308,,,,
JPM,False,qqq_above_50ma,0.075,0.2,,60,0.7139576076606922,0.894783558733353,-0.18082595107266086,-0.34183209941310405,-0.3877157476402589,0.7843572325862366,0.7652026006839703,17,0.6875,2.3990356613886323,0.035735031595705735,,,,
BAC,True,above_50ma,0.1,,0.1,30,0.27992516277629576,0.1933387345884927,0.08658642818780304,-0.29246131420663773,-0.46642938636649833,0.41221461755769045,0.2984999710623924,23,0.5454545454545454,1.408724730025231,0.044507497238241114,0.24538106367272916,0.2828398834400321,-0.03745881976730292,1.2341231118944227
GS,False,composite,0.1,0.15,0.15,60,0.6689984610420614,0.854789278330403,-0.18579081728834157,-0.3071655631445962,-0.32840131326782174,0.6594918055759502,0.6941739633752841,17,0.6470588235294118,2.0635708154040895,0.035250798545926026,,,,
