date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2021-06-14,100000.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-06-15,92944.66,7048.29,99992.95,0.0,-7.05,-7.1e-05,-7.1e-05,-0.001834,-0.006531,-0.009776
2021-06-16,92944.66,7020.19,99964.85,0.0,-35.15,-0.000281,-0.000351,-0.007407,-0.010159,-0.014221
2021-06-17,85828.66,14219.59,100048.25,0.0,48.25,0.000834,0.000482,-0.007736,0.002409,-0.003902
2021-06-18,78699.92,21258.33,99958.25,0.0,-41.74,-0.0009,-0.000417,-0.021122,-0.005457,-0.016455
2021-06-21,78699.92,20991.5,99691.42,0.0,-308.57,-0.002669,-0.003086,-0.007109,0.000724,-0.014572
2021-06-22,75129.03,25075.21,100204.24,0.0,204.24,0.005144,0.002042,-0.0018,0.010052,-0.00329
2021-06-23,71536.26,28689.7,100225.96,0.0,225.97,0.000217,0.00226,-0.003004,0.010546,0.002572
2021-06-24,67906.93,32480.3,100387.23,0.0,387.23,0.001609,0.003872,0.002894,0.016794,0.012545
2021-06-25,67906.93,32341.33,100248.26,0.0,248.26,-0.001384,0.002483,0.006457,0.015545,0.011218
2021-06-28,67906.93,32973.09,100880.02,0.0,880.02,0.006302,0.0088,0.008486,0.027895,0.030105
2021-06-29,60839.77,40235.8,101075.57,0.0,1075.57,0.001938,0.010756,0.009028,0.031615,0.033349
2021-06-30,64780.89,36278.06,101058.95,382.26,676.68,-0.000164,0.01059,0.009878,0.029988,0.033988
2021-07-01,57868.6,43108.67,100977.27,382.26,595.01,-0.000808,0.009773,0.015469,0.030395,0.029346
2021-07-02,57868.6,43493.26,101361.86,382.26,979.6,0.003809,0.013619,0.023231,0.042222,0.03774
2021-07-06,65117.51,36598.07,101715.58,489.13,1226.45,0.00349,0.017156,0.021367,0.046727,0.043934
2021-07-07,65940.52,35454.53,101395.05,1274.65,120.4,-0.003151,0.01395,0.024977,0.048935,0.043063
2021-07-08,58843.1,42330.24,101173.34,1274.65,-101.31,-0.002187,0.011733,0.016625,0.0426,0.032525
2021-07-09,55323.46,46335.93,101659.39,1274.65,384.73,0.004804,0.016594,0.027477,0.04911,0.049126
2021-07-12,51852.61,50059.7,101912.31,1274.65,637.66,0.002488,0.019123,0.031158,0.053207,0.05574
2021-07-13,48230.07,53486.51,101716.58,1274.65,441.93,-0.001921,0.017166,0.027642,0.053207,0.050446
2021-07-14,48230.07,53289.56,101519.63,1274.65,244.99,-0.001936,0.015196,0.029176,0.055096,0.045608
2021-07-15,48005.96,52674.77,100680.73,945.48,-264.74,-0.008263,0.006807,0.025661,0.047686,0.031424
2021-07-16,54448.65,45540.85,99989.5,262.21,-272.7,-0.006866,-0.000105,0.017616,0.0392,0.018602
2021-07-19,54448.65,45310.57,99759.22,262.21,-502.98,-0.002303,-0.002408,0.002588,0.030685,0.011721
2021-07-20,54448.65,45851.28,100299.93,262.21,37.73,0.00542,0.002999,0.016955,0.042658,0.024128
2021-07-21,54448.65,46090.84,100539.49,262.21,277.29,0.002388,0.005395,0.025189,0.050708,0.0358
2021-07-22,54448.65,46283.47,100732.12,262.21,469.92,0.001916,0.007321,0.027336,0.057654,0.040145
2021-07-23,47351.22,53776.88,101128.1,262.21,865.9,0.003931,0.011281,0.037905,0.070004,0.048881
2021-07-26,43760.5,57437.22,101197.72,262.21,935.52,0.000688,0.011977,0.040453,0.070847,0.054705
2021-07-27,43811.89,56693.34,100505.23,94.49,410.76,-0.006843,0.005052,0.035711,0.059048,0.042189
2021-07-28,43811.89,57382.08,101193.97,94.49,1099.5,0.006853,0.01194,0.035286,0.063117,0.053833
2021-07-29,51419.24,49980.39,101399.63,611.67,787.98,0.002032,0.013996,0.03958,0.065006,0.059265
2021-07-30,47698.87,53689.61,101388.48,611.67,776.84,-0.00011,0.013885,0.034531,0.059455,0.055798
2021-08-02,47698.87,53851.33,101550.2,611.67,938.56,0.001595,0.015502,0.032361,0.059542,0.058916
2021-08-03,55272.45,46722.38,101994.83,1248.57,746.29,0.004378,0.019948,0.040759,0.065965,0.068424
2021-08-04,63043.07,39706.06,102749.13,1706.06,1043.11,0.007395,0.027491,0.03564,0.067505,0.080925
2021-08-05,60436.77,42593.99,103030.76,1884.28,1146.51,0.002741,0.030308,0.042199,0.074276,0.086346
2021-08-06,60436.77,42252.33,102689.1,1884.28,804.85,-0.003316,0.026891,0.043921,0.069568,0.082075
2021-08-09,60813.29,42134.01,102947.3,2512.52,434.82,0.002514,0.029473,0.043072,0.071544,0.087035
2021-08-10,57141.06,45382.53,102523.59,2597.13,-73.5,-0.004116,0.025236,0.044369,0.066051,0.077149
2021-08-11,60256.38,42216.2,102472.58,2212.47,260.14,-0.000498,0.024726,0.046964,0.064221,0.075325
2021-08-12,63199.53,38898.94,102098.47,1792.66,305.85,-0.003651,0.020985,0.050102,0.068057,0.073348
2021-08-13,59610.09,42738.76,102348.85,1792.66,556.24,0.002452,0.023489,0.052013,0.071806,0.078524
2021-08-16,59610.09,42483.05,102093.14,1792.66,300.52,-0.002498,0.020931,0.05449,0.072271,0.072131
2021-08-17,56231.5,45412.64,101644.14,1792.66,-148.48,-0.004398,0.016441,0.047578,0.062826,0.059614
2021-08-18,65823.8,35235.02,101058.82,950.93,107.94,-0.005759,0.010588,0.036112,0.052597,0.04836
2021-08-19,77018.15,24063.34,101081.49,1528.21,-446.67,0.000224,0.010815,0.037716,0.057682,0.053572
2021-08-20,69916.33,31400.77,101317.1,1528.21,-211.06,0.002331,0.013171,0.045973,0.068638,0.065019
2021-08-23,66105.0,35665.65,101770.65,1528.21,242.49,0.004477,0.017706,0.055174,0.084621,0.084052
2021-08-24,69701.03,32118.11,101819.14,1501.7,317.49,0.000476,0.018191,0.056849,0.087934,0.098979
2021-08-25,62532.96,39447.0,101979.96,1501.7,478.31,0.001579,0.0198,0.059067,0.089184,0.10707
2021-08-26,58936.84,43109.97,102046.81,1501.7,545.16,0.000656,0.020468,0.052815,0.082268,0.105601
2021-08-27,55320.11,47295.5,102615.61,1501.7,1113.97,0.005574,0.026156,0.062228,0.092787,0.123369
2021-08-30,55320.11,47436.79,102756.9,1501.7,1255.26,0.001377,0.027569,0.066899,0.105051,0.130239
2021-08-31,51928.89,50734.72,102663.61,1501.7,1161.97,-0.000908,0.026636,0.065319,0.10415,0.127667
2021-09-01,48272.29,54394.45,102666.74,1501.7,1165.1,3e-05,0.026667,0.065885,0.105981,0.129149
2021-09-02,44782.46,57968.5,102750.96,1501.7,1249.32,0.00082,0.02751,0.069164,0.105458,0.131004
2021-09-03,44782.46,58402.84,103185.3,1501.7,1683.66,0.004227,0.031853,0.068905,0.108858,0.13872
2021-09-07,52640.21,50513.79,103154.0,2155.71,998.35,-0.000303,0.03154,0.065083,0.110427,0.137543
2021-09-08,45362.55,57398.87,102761.42,2155.71,605.78,-0.003806,0.027614,0.063786,0.106562,0.128785
2021-09-09,45362.55,57242.69,102605.24,2155.71,449.59,-0.00152,0.026052,0.059232,0.102755,0.126514
2021-09-10,45362.55,56856.75,102219.3,2155.71,63.66,-0.003761,0.022193,0.05088,0.094386,0.120161
2021-09-13,44872.96,57325.23,102198.19,1819.65,378.61,-0.000207,0.021982,0.05357,0.09363,0.12012
2021-09-14,48263.11,53839.38,102102.49,2169.82,-67.25,-0.000936,0.021025,0.047884,0.090521,0.117988
2021-09-15,44861.35,57477.52,102338.87,2169.82,169.12,0.002315,0.023389,0.056637,0.098628,0.124122
2021-09-16,44861.35,57567.45,102428.8,2169.82,259.06,0.000879,0.024288,0.054962,0.099384,0.125026
2021-09-17,44861.35,56932.13,101793.48,2169.82,-376.27,-0.006203,0.017935,0.044685,0.086365,0.112474
2021-09-20,51569.76,48771.63,100341.39,1694.38,-1352.92,-0.014265,0.003414,0.027266,0.063917,0.085904
2021-09-21,51528.95,48883.02,100411.97,1497.62,-1085.59,0.000703,0.00412,0.026296,0.065226,0.088641
2021-09-22,54590.72,46395.17,100985.89,1168.17,-182.21,0.005716,0.009859,0.036307,0.075176,0.104106
2021-09-23,51048.88,50429.5,101478.38,1168.17,310.27,0.004877,0.014784,0.048898,0.085097,0.115697
2021-09-24,51278.26,50408.91,101687.17,1446.81,240.42,0.002057,0.016872,0.050626,0.086115,0.119397
2021-09-27,47581.55,53845.3,101426.85,1446.81,-19.9,-0.00256,0.014269,0.047621,0.077445,0.118637
2021-09-28,56968.94,42913.62,99882.56,540.34,-657.72,-0.015226,-0.001174,0.026509,0.046956,0.086197
2021-09-29,56968.94,42843.82,99812.76,540.34,-727.52,-0.000699,-0.001872,0.028236,0.04524,0.081593
2021-09-30,56968.94,42751.47,99720.41,540.34,-819.87,-0.000925,-0.002796,0.015669,0.041399,0.079207
2021-10-01,56883.12,43122.25,100005.37,452.51,-447.07,0.002858,5.4e-05,0.02774,0.047858,0.088422
2021-10-04,60377.85,38869.57,99247.42,-250.78,-501.73,-0.007579,-0.007526,0.014486,0.025864,0.066073
2021-10-05,60377.85,39486.92,99864.77,-250.78,115.63,0.00622,-0.001352,0.025041,0.039712,0.087702
2021-10-06,64343.94,35801.0,100144.94,60.76,84.26,0.002805,0.001449,0.029301,0.046374,0.09722
2021-10-07,64200.0,36229.1,100429.1,-153.52,582.7,0.002837,0.004291,0.038201,0.055975,0.106889
2021-10-08,64455.74,35845.81,100301.55,20.69,280.94,-0.00127,0.003016,0.036307,0.050709,0.103145
2021-10-11,60864.16,39459.86,100324.02,20.69,303.41,0.000224,0.00324,0.028804,0.04265,0.099718
2021-10-12,64053.91,36008.62,100062.53,-331.4,394.01,-0.002606,0.000625,0.026272,0.039014,0.096707
2021-10-13,64053.91,36225.1,100279.01,-331.4,610.49,0.002163,0.00279,0.029964,0.047334,0.105021
2021-10-14,60462.19,40524.85,100987.04,-331.4,1318.53,0.007061,0.00987,0.047289,0.066623,0.126768
2021-10-15,64386.8,37146.69,101533.49,67.43,1466.15,0.005411,0.015335,0.055265,0.073343,0.141203
2021-10-18,61131.44,41042.82,102174.26,535.31,1639.04,0.006311,0.021743,0.058389,0.084137,0.160028
2021-10-19,61527.04,40806.47,102333.51,902.05,1431.56,0.001559,0.023335,0.066554,0.092341,0.167072
2021-10-20,65274.13,36990.63,102264.76,1009.2,1255.65,-0.000672,0.022648,0.070744,0.090915,0.164988
2021-10-21,65815.16,36531.23,102346.39,1480.32,866.16,0.000798,0.023464,0.073536,0.097577,0.173298
2021-10-22,58512.85,43884.49,102397.34,1480.32,917.11,0.000498,0.023973,0.072424,0.088355,0.173087
2021-10-25,70343.11,32847.33,103190.44,2501.27,689.26,0.007745,0.031904,0.078175,0.099497,0.189672
2021-10-26,63427.05,39864.05,103291.1,2501.27,789.91,0.000975,0.032911,0.079145,0.102959,0.194012
2021-10-27,59910.08,43400.9,103310.98,2956.5,354.56,0.000192,0.03311,0.074365,0.10552,0.192008
2021-10-28,56476.04,47345.16,103821.2,2956.5,864.78,0.004939,0.038212,0.084731,0.117797,0.207911
2021-10-29,56476.04,47833.98,104310.02,2956.5,1353.6,0.004708,0.0431,0.086932,0.123295,0.214684
2021-11-01,57223.97,47305.39,104529.36,3582.94,946.5,0.002103,0.045294,0.088802,0.127136,0.221994
2021-11-02,57448.71,47568.27,105016.98,3740.53,1276.53,0.004665,0.05017,0.093204,0.131848,0.228175
2021-11-03,61491.09,43954.69,105445.78,4173.08,1272.79,0.004083,0.054458,0.099878,0.143864,0.240813
2021-11-04,62058.64,43843.68,105902.32,4959.56,942.85,0.00433,0.059023,0.105061,0.158526,0.258983
2021-11-05,58288.73,47254.94,105543.67,4959.56,584.2,-0.003387,0.055437,0.108896,0.159632,0.254258
2021-11-08,58510.87,47872.16,106383.03,5330.88,1052.23,0.007953,0.06383,0.109842,0.158061,0.27085
2021-11-09,54277.42,51768.51,106045.93,4878.79,1167.21,-0.003169,0.060459,0.106174,0.150089,0.262055
2021-11-10,53899.98,50747.74,104647.72,4584.03,63.77,-0.013185,0.046477,0.097275,0.133187,0.233684
2021-11-11,53899.98,51360.6,105260.58,4584.03,676.63,0.005856,0.052606,0.09763,0.136329,0.247116
