profile,total_return,annualized_return,max_drawdown,sharpe,excess_vs_spy,excess_vs_qqq,n_trades,trades_per_month,win_rate,avg_win,avg_loss,profit_factor,avg_holding_days,total_slippage_cost,largest_winner,largest_loser,exits_take_profit,exits_stop_loss,exits_trailing_stop,exits_max_holding,gave_back_gains,spread_5d,spread_10d,spread_20d,pnl_concentration,pnl_group_financial_crypto_beta,pnl_group_mega_cap_growth,pnl_group_semiconductors,pnl_group_software_cybersecurity,pnl_AAPL,pnl_AMD,pnl_AMZN,pnl_ASML,pnl_AVGO,pnl_BAC,pnl_COIN,pnl_COST,pnl_CRWD,pnl_GOOGL,pnl_GS,pnl_JPM,pnl_META,pnl_MSFT,pnl_MU,pnl_NFLX,pnl_NVDA,pnl_ORCL,pnl_PANW,pnl_TSLA,pnl_TSM
baseline,0.6514804000000001,0.09689217333956379,-0.19418000960530257,0.9633102637977875,-0.5090455999999999,-0.7547096,2115,32.384607645875256,0.529467680608365,428.3049730700179,-350.8723636363637,1.373579975152264,15.534410646387833,8837.69,1417.91,-1268.15,410,416,0,237,79,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.14906436556500927,3616.8032000000007,19026.640399999997,18022.7446,4823.698399999999,-553.0620000000001,6178.110000000001,215.66999999999996,2377.959199999999,3053.1100000000006,-159.71119999999988,2804.3100000000004,3620.2699999999995,1858.8499999999995,3276.311200000001,3488.5365000000015,972.2044000000002,3987.71,140.6599999999999,8791.5246,4586.2077,9923.711199999998,436.0799999999995,2964.8484,2035.6399999999994,5148.843600000001
trend_reweighted,0.5400427999999999,0.08285619411745326,-0.19489553336709403,0.8660852816933515,-0.6204832,-0.8661472000000001,1974,30.225633802816905,0.515274949083503,422.41132411067196,-336.95915966386553,1.332606263033647,15.265987780040732,7959.74,1774.82,-1215.31,381,395,0,214,84,0.0014308371957893525,0.00023555683736264064,-0.002310165239202071,0.1310849621896614,2708.7688,8940.3178,18588.4542,5175.606999999999,-1439.2976,6426.45,-1079.0300000000002,3592.6427999999996,4270.54,-261.92479999999983,1509.92,3559.8,5493.772999999999,2049.4854,2924.866500000001,1460.7735999999998,3563.88,1064.2600000000004,7891.4642,3234.19,2895.28,2346.8499999999995,-318.16599999999994,1885.7400000000007,2932.8063999999995
trend_reweighted_aggressive,0.510376,0.0789802338219514,-0.19811938781690053,0.8181719839654317,-0.6501499999999999,-0.895814,1985,30.39406438631791,0.5080971659919028,420.1740836653387,-329.95522633744855,1.3153511163504914,15.402732793522267,7909.12,1703.83,-1215.31,383,404,0,214,107,0.0014461226461578696,0.0012349193293005288,-0.0030505393078358797,0.15413463927767374,4499.412599999999,10654.367999999999,17151.6042,3551.9533,-398.7374000000009,5606.56,-687.6599999999996,2570.3528,3069.2699999999995,-104.98099999999954,3870.6799999999985,2747.88,4336.282999999999,2828.8753999999994,1397.3615,733.7136000000003,4178.410000000001,19.449999999999932,8475.774200000002,3547.7299999999996,3189.229999999999,992.2299999999999,-784.3296999999993,1524.8,3925.11
score_weighted_sizing,0.8477745000000001,0.11983871896354437,-0.23527799399808627,0.9554941025851079,-0.31275149999999985,-0.5584155,2113,32.35398390342053,0.5280685061845861,562.424072072072,-459.0273387096774,1.370997475552707,15.550618458610847,11541.05,2064.1,-1781.8,409,415,0,238,79,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.14288162809455693,3938.712399999999,25172.247,24239.0787,6655.9208,-803.0250000000002,8603.91,282.6300000000001,3203.325599999999,3384.17,-951.0275999999999,3580.219999999999,4153.67,2533.6100000000006,4749.405999999999,4459.3791,1309.52,5418.110000000001,26.679999999999836,12250.9987,5905.6917,12614.426000000001,304.0299999999995,4122.310799999999,2884.0199999999995,6745.6896
higher_take_profit,0.8744385,0.12280029341168186,-0.22374853806970815,1.0306749472081722,-0.28608749999999994,-0.5317515,1550,23.73340040241449,0.4830729166666667,663.1176010781671,-402.60465994962215,1.5392003768909066,25.059244791666668,6939.01,1548.07,-1237.72,288,377,0,104,138,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.12461834874600218,5526.8397,24448.8651,23869.598699999995,7762.1092,2123.7295999999997,8173.019999999998,958.6125000000006,5898.4892,4691.16,895.0180000000008,2697.1699999999996,4443.709999999999,2810.579999999999,6386.5656,3787.987800000001,1934.6517000000003,3214.5129000000015,-434.6400000000002,11005.4187,5248.756000000001,10087.687999999998,2108.76,4951.529200000001,2112.3965000000003,4348.592000000001
high_take_profit,0.9371801999999999,0.1296357767394969,-0.24227413338514914,1.055061968139857,-0.22334580000000004,-0.46900980000000014,1382,21.161006036217305,0.4590643274853801,764.9677388535032,-401.5002702702703,1.61690759859473,28.63947368421053,6218.63,2422.0,-1320.99,192,349,0,145,134,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.11004146381669891,7123.8645,24182.517999999996,24599.601200000005,9638.7948,2630.0263999999993,8849.99,1451.6375,6329.943200000001,5249.960000000001,1595.8877000000007,4531.609999999999,3573.0699999999997,3682.5509999999986,5979.68,3802.558,996.3668000000001,3943.8629,-848.6599999999996,10499.651200000002,5209.853400000001,8764.743599999998,2310.6699999999996,5956.243800000001,2261.2276,6947.2152
no_fixed_take_profit_trailing_stop,0.9443489000000002,0.13040523733363663,-0.23462533834641958,1.1037824739526816,-0.2161770999999998,-0.4618410999999999,1261,19.30826961770624,0.41533546325878595,790.0732307692308,-320.03453551912565,1.753730130218187,28.95079872204473,5558.22,7868.41,-1101.48,0,218,378,146,135,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.14084113209334806,10112.395500000002,23553.2948,28407.208699999996,6370.059599999999,2514.4248,13300.31,1388.1999999999998,3218.5368,4551.25,2696.8779000000013,6005.490000000002,4097.8099999999995,3197.38,6449.6,4182.1253,1410.0276000000001,3349.149999999999,77.85999999999984,10555.648699999998,4843.7521000000015,7355.710000000001,3863.69,3172.679599999999,2418.35,5785.968799999999
no_fixed_take_profit_wide_trailing_stop,1.0937945999999998,0.1459421199057056,-0.24120936977345617,1.1131800178466855,-0.06673140000000011,-0.3123954000000002,1131,17.317726358148896,0.41323792486583183,952.1520779220779,-374.0842073170732,1.7925656982474758,34.844901610017885,5141.7,8013.32,-1144.68,0,260,128,216,128,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.11433965435044031,9254.995400000002,27212.506300000005,31150.1187,10285.1077,3371.3051999999993,12687.779999999999,2956.8,6796.5768,6231.710000000001,1957.8270000000011,5959.56,3789.33,2441.48,6331.051,4559.2553,1337.6084000000005,3403.061,-793.0000000000002,12230.6287,5289.684300000002,8686.680400000001,4010.709999999999,7843.627700000001,3256.6087,7031.4174
vol_adjusted_momentum,0.4759507999999999,0.07440396768302948,-0.21959262823390913,0.7581669789255336,-0.6845752,-0.9302392000000002,1978,30.286881287726363,0.515736040609137,402.8521456692913,-331.4876519916142,1.2942663468497044,16.03705583756345,7845.38,1595.08,-1215.31,366,400,0,230,99,0.000620936541936872,0.0006261659254233349,-0.004223573230846586,0.13303441742951982,1984.6559999999993,10254.8587,16283.0142,3184.6332999999995,39.598699999999724,6048.940000000001,-821.7300000000002,2705.081800000001,2746.120000000001,-1342.8468000000003,2321.689999999999,3623.1000000000004,4454.422999999999,1743.01,3101.8450000000003,1005.8128000000004,2710.67,-911.0199999999998,7487.954199999998,3029.56,5957.650000000001,929.9399999999996,-1269.7896999999991,1536.6799999999998,2498.3799999999997
qqq_trend_filter,0.5075809,0.07861186250588359,-0.12632099009923362,0.9394223874245411,-0.6529451,-0.8986091,1585,24.269315895372237,0.5349428208386277,415.38764845605704,-339.57939890710384,1.407062063114721,16.496060991105463,6492.38,1238.29,-1215.31,297,294,0,209,57,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.12897170996496687,4191.119200000001,14127.478600000002,16585.3005,4635.527599999999,106.2631999999997,5967.290000000001,-1118.79,2287.4328,3334.2899999999995,490.79560000000004,2132.0900000000006,643.31,3330.87,4407.0854,1854.4165000000007,1568.2336000000005,3761.630000000001,-1739.82,7283.7205,39.36680000000024,5654.11,782.88,1304.6575999999998,3057.000000000001,5611.2828
stop_cooldown_5d,0.49646100000000004,0.07714081136322504,-0.2140899396809554,0.8102727179323199,-0.6640649999999999,-0.909729,2029,31.067786720321937,0.5188118811881188,403.3569465648855,-333.66872427983543,1.3033740125676017,15.704356435643565,8051.87,1294.61,-1215.31,384,405,0,233,79,7.18985483665318e-06,-0.0004915237096059163,-0.001264595084332732,0.16285949365089483,2979.3435999999992,16028.6586,13998.0405,2162.2,-365.09680000000003,4775.92,-184.76,1758.8927999999999,2432.47,-458.81920000000036,2231.7999999999993,3335.34,1410.2499999999998,2598.9353999999994,2481.935200000001,1206.3628000000003,4265.25,-663.5899999999999,6789.6505,2644.726800000001,8745.660000000002,-354.9099999999993,751.95,1632.2599999999998,4612.066399999999
regime_voladj_higher_tp,0.6149263,0.09237554607063303,-0.16836381418307217,0.9942652464739454,-0.5455996999999999,-0.7912637,1147,17.56271629778672,0.4833040421792619,608.6015272727274,-365.1472448979592,1.5590152849530743,26.31775043936731,4770.5,1595.08,-952.39,207,276,0,86,98,0.000620936541936872,0.0006261659254233349,-0.004223573230846586,0.18647819314773398,6807.5042,15944.669799999998,22483.6346,3524.447299999999,796.5898,6178.160000000001,-1203.5499999999997,2267.1991999999996,4237.05,2044.5493000000001,2056.1299999999997,1307.5400000000002,2435.149599999999,3472.4400000000005,3389.6550000000007,2706.8249000000005,5385.669999999999,1192.7699999999998,12068.4246,1660.13,4636.759999999999,-408.9200000000001,1089.2977000000003,1663.99,4516.8186000000005
