profile,total_return,annualized_return,max_drawdown,sharpe,excess_vs_spy,excess_vs_qqq,n_trades,trades_per_month,win_rate,avg_win,avg_loss,profit_factor,avg_holding_days,total_slippage_cost,largest_winner,largest_loser,exits_take_profit,exits_stop_loss,exits_trailing_stop,exits_max_holding,gave_back_gains,spread_5d,spread_10d,spread_20d,pnl_concentration,pnl_group_leveraged_etfs,pnl_SQQQ,pnl_TQQQ
baseline,0.2544252,0.028841497564750407,-0.45611703033058065,0.2490998451406491,-1.8057748,-3.1697348,101,1.0521697467488023,0.34,22269.718823529412,-11931.244848484848,0.9615324754144378,66.384,5112.79,70307.15,-21500.05,0,24,0,25,24,,,,0.537782582668057,25442.450399999972,-155626.52000000002,181068.9704
trend_reweighted,0.26843729999999993,0.030276047880151147,-0.5160243321067962,0.2523288075034989,-1.7917627,-3.1557227,97,1.0104996577686516,0.3333333333333333,20323.8725,-10338.488125,0.9829228536256601,68.01875,4637.92,71524.1,-19696.82,0,22,0,25,24,,,,0.5348770737854517,26843.7592,-178995.06,205838.8192
trend_reweighted_aggressive,0.009495599999999977,0.0011861691659778018,-0.5288128521140703,0.160082698123842,-2.0507044,-3.4146644,88,0.9167419575633128,0.37209302325581395,15213.044375000001,-9751.723703703703,0.9244660412172527,71.06046511627906,3672.74,49445.66,-15634.16,0,20,0,22,19,,,,0.5018270957238079,949.5443999999843,-129450.60440000001,130400.1488
score_weighted_sizing,0.10213149999999994,0.012272808908275534,-0.06048817612441954,0.46456278853542915,-1.9580685,-3.3220285,96,1.000082135523614,0.3617021276595745,2221.207647058823,-1032.753,1.2187660876640718,65.53191489361703,436.5,7885.42,-1661.5,0,23,0,24,19,,,,0.6504548575050719,10213.1875,-11863.924299999999,22077.1118
higher_take_profit,-0.18055419999999997,-0.02466824605744755,-0.6118438652837244,-0.02500690430709108,-2.2407542,-3.6047142,264,2.7502258726899385,0.5877862595419847,7888.055324675325,-11564.096851851851,0.9726468687255413,24.1557251908397,12111.6,14648.02,-18689.58,74,45,0,13,20,,,,0.5332115649882265,-18055.44889999999,-144940.08589999998,126884.63699999999
high_take_profit,0.16835309999999998,0.0197088666665024,-0.5998536384425549,0.19901165617507613,-1.8918469,-3.2558069,226,2.3543600273785077,0.5446428571428571,11257.949836065573,-12971.215882352944,1.0380978238679635,29.258928571428573,11830.75,18119.86,-26234.97,57,38,0,18,25,,,,0.5270084995298709,16835.182100000035,-147414.66909999997,164249.8512
no_fixed_take_profit_trailing_stop,-0.6548413,-0.12491318214025238,-0.8068318974030363,-0.3372467586309092,-2.7150413,-4.0790013,425,4.427446954141,0.32547169811320753,3171.1099999999997,-1997.0705594405597,0.7661802467383255,13.970754716981133,8462.32,19950.14,-8769.1,0,0,206,6,47,,,,0.6763323985520481,-65484.1241,-125583.94,60099.8159
no_fixed_take_profit_wide_trailing_stop,-0.59746,-0.10786822314770406,-0.6914973082892281,-0.25416113580166877,-2.65766,-4.02162,273,2.843983572895277,0.33088235294117646,5169.888444444446,-3230.281208791209,0.7914290046329788,23.120588235294115,6568.45,23305.63,-8183.87,0,0,122,14,37,,,,0.6570123296490851,-59745.95130000003,-125002.37000000001,65256.41869999998
vol_adjusted_momentum,0.009495599999999977,0.0011861691659778018,-0.5288128521140703,0.160082698123842,-2.0507044,-3.4146644,88,0.9167419575633128,0.37209302325581395,15213.044375000001,-9751.723703703703,0.9244660412172527,71.06046511627906,3672.74,49445.66,-15634.16,0,20,0,22,19,,,,0.5018270957238079,949.5443999999843,-129450.60440000001,130400.1488
qqq_trend_filter,-0.2294781,-0.03217059323042315,-0.6242223547993295,0.044826939292455646,-2.2896781,-3.6536381,91,0.9479945242984258,0.37777777777777777,9889.948235294118,-7545.953928571427,0.7957392114250822,68.26222222222222,2846.16,37533.58,-18497.58,0,21,0,23,17,,,,0.5619423825998906,-22947.848000000013,-104091.64,81143.79199999999
stop_cooldown_5d,0.15256660000000002,0.017970310431474124,-0.4545810844491752,0.2134650027958553,-1.9076334,-3.2715934,105,1.0938398357289527,0.34615384615384615,20130.304444444446,-11305.050000000001,0.9426955210282131,64.24423076923077,4928.72,70307.15,-20143.46,0,26,0,25,23,,,,0.5220564171888882,15256.603000000003,-165298.73,180555.333
regime_voladj_higher_tp,1.3698804,0.11430482751234927,-0.3541148622192924,0.6589276000244187,-0.6903196,-2.0542796,164,1.708473648186174,0.654320987654321,13196.513018867925,-19207.14035714286,1.3005118650722025,29.434567901234566,13641.34,25429.75,-31921.34,50,20,0,12,13,,,,0.6864135583903634,136988.008,-115221.1844,252209.1924
