parameter,value,total_return,excess_vs_spy,excess_vs_qqq,excess_vs_equal_weight,max_drawdown,total_trades,win_rate,profit_factor,avg_holding_period
stop_loss,3.0%,-0.12082580000000001,-1.2813528,-1.5270158,-1.0007628,-0.15403384266982667,670,0.218562874251497,0.8240467496492693,5.701497005988024
stop_loss,5.0%,-0.09957550000000003,-1.2601025000000001,-1.5057655,-0.9795125,-0.13402427952311582,522,0.2692307692307692,0.8483289477222352,8.011153846153846
stop_loss,7.5%,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
stop_loss,10.0%,-0.06174229999999996,-1.2222693,-1.4679323,-0.9416792999999999,-0.06891571200965045,378,0.40425531914893614,0.9055624190601875,12.426063829787234
take_profit,8%,-0.08274369999999995,-1.2432707,-1.4889337,-0.9626807,-0.1185287137650387,604,0.4684385382059801,0.8904207939688779,6.8913621262458475
take_profit,10%,-0.06220509999999995,-1.2227321,-1.4683951,-0.9421420999999999,-0.08098023496539214,528,0.4372623574144487,0.9126838649807194,8.136121673003803
take_profit,15%,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
max_holding_days,5,-0.0848561,-1.2453831000000002,-1.4910461000000002,-0.9647931,-0.10436041695895179,832,0.4506024096385542,0.8807016621445303,4.402409638554217
max_holding_days,15,-0.06897330000000002,-1.2295003000000002,-1.4751633000000002,-0.9489103,-0.08736700660631168,518,0.3875968992248062,0.8977298791348358,8.214341085271318
max_holding_days,30,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
max_holding_days,60,-0.054284100000000036,-1.2148111000000001,-1.4604741,-0.9342211,-0.0732889693875654,430,0.34579439252336447,0.9197023187853723,10.464953271028037
max_new_trades_per_day,1,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
max_new_trades_per_day,2,-0.05053070000000007,-1.2110577000000002,-1.4567207000000002,-0.9304677,-0.08107101294465842,444,0.35294117647058826,0.9255650048319994,10.072850678733031
max_new_trades_per_day,3,-0.05053070000000007,-1.2110577000000002,-1.4567207000000002,-0.9304677,-0.08107101294465842,444,0.35294117647058826,0.9255650048319994,10.072850678733031
max_new_trades_per_day,5,-0.05053070000000007,-1.2110577000000002,-1.4567207000000002,-0.9304677,-0.08107101294465842,444,0.35294117647058826,0.9255650048319994,10.072850678733031
min_composite_score,none,-0.053430800000000014,-1.2139578000000002,-1.4596208000000002,-0.9333678,-0.07342823412490293,506,0.35714285714285715,0.927718153972452,10.012301587301588
min_composite_score,0.60,-0.031150399999999936,-1.1916774,-1.4373404,-0.9110873999999999,-0.05959099319052595,474,0.3644067796610169,0.958033628438069,10.507627118644068
min_composite_score,0.70,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
min_composite_score,0.80,-0.047174900000000054,-1.2077019000000002,-1.4533649000000002,-0.9271119,-0.08031501155594407,387,0.3626943005181347,0.9220937016725743,10.004145077720208
signal_weights,baseline,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
signal_weights,no_1d,-0.0328475,-1.1933745,-1.4390375,-0.9127845,-0.059211712882228776,410,0.36764705882352944,0.948567533043221,9.913235294117648
signal_weights,less_1d,-0.04452270000000004,-1.2050497000000002,-1.4507127000000002,-0.9244597,-0.07117182440512837,414,0.3640776699029126,0.9304643165077168,9.76456310679612
signal_weights,more_volume,-0.054001699999999986,-1.2145287,-1.4601917,-0.9339386999999999,-0.08107101294465842,444,0.35294117647058826,0.9206947722089921,10.06923076923077
