date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2021-06-15,BUY,TSM,32,109.7978,3513.53,momentum_score=0.7595,,0.0,,,
2021-06-15,BUY,AAPL,28,126.4932,3541.81,momentum_score=0.7405,,0.0,,,
2021-06-17,BUY,CRWD,15,241.5513,3623.27,momentum_score=0.919,,0.0,,,
2021-06-17,BUY,AMZN,20,174.6365,3492.73,momentum_score=0.7905,,0.0,,,
2021-06-18,BUY,NVDA,192,18.5931,3569.88,momentum_score=0.9286,,0.0,,,
2021-06-18,BUY,AMD,42,84.7347,3558.86,momentum_score=0.8952,,0.0,,,
2021-06-22,BUY,MSFT,14,255.0639,3570.89,momentum_score=0.7595,,0.0,,,
2021-06-23,BUY,NFLX,70,51.3253,3592.77,momentum_score=0.7429,,0.0,,,
2021-06-24,BUY,TSLA,16,226.8333,3629.33,momentum_score=0.9714,,0.0,,,
2021-06-29,BUY,META,10,349.4992,3494.99,momentum_score=0.8619,,0.0,,,
2021-06-29,BUY,COIN,14,255.1549,3572.17,momentum_score=0.8286,,0.0,,,
2021-06-30,SELL,AMD,42,93.8361,3941.12,take_profit,382.26,8.6,84.7347,93.93,82.59
2021-07-01,BUY,AMD,38,93.4033,3549.33,momentum_score=0.9571,,0.0,,,
2021-07-01,BUY,MU,43,78.2084,3362.96,momentum_score=0.7429,,0.0,,,
2021-07-06,SELL,NVDA,192,20.6066,3956.47,take_profit,386.59,12.9,18.5931,20.6272,18.3637
2021-07-06,SELL,COIN,14,235.1746,3292.44,stop_loss,-279.72,5.0,255.1549,255.1549,235.41
2021-07-07,BUY,PANW,55,64.5628,3550.95,momentum_score=0.8571,,0.0,,,
2021-07-07,BUY,NVDA,176,20.3218,3576.64,momentum_score=0.7095,,0.0,,,
2021-07-07,SELL,AAPL,28,140.779,3941.81,take_profit,400.0,15.7,126.4932,140.9199,126.3668
2021-07-07,SELL,CRWD,15,267.2525,4008.79,take_profit,385.52,14.3,241.5513,267.52,237.68
2021-07-08,BUY,AAPL,25,139.7631,3494.08,momentum_score=0.8905,,0.0,,,
2021-07-08,BUY,ORCL,45,80.0743,3603.34,momentum_score=0.781,,0.0,,,
2021-07-09,BUY,COST,9,391.0714,3519.64,momentum_score=0.7381,,0.0,,,
2021-07-12,BUY,COIN,14,247.9177,3470.85,momentum_score=0.8476,,0.0,,,
2021-07-13,BUY,AVGO,82,44.1773,3622.54,momentum_score=0.7119,,0.0,,,
2021-07-15,BUY,ASML,5,673.157,3365.79,momentum_score=0.7143,,0.0,,,
2021-07-15,SELL,COIN,14,224.4054,3141.68,stop_loss,-329.17,2.1,247.9177,247.9177,224.63
2021-07-16,SELL,AMD,38,85.8041,3260.56,stop_loss,-288.77,10.7,93.4033,94.7,85.89
2021-07-16,SELL,NVDA,176,18.0803,3182.13,stop_loss,-394.5,6.4,20.3218,20.4418,18.0984
2021-07-23,BUY,CRWD,13,269.229,3499.98,momentum_score=0.869,,0.0,,,
2021-07-23,BUY,AMD,39,92.2422,3597.45,momentum_score=0.7595,,0.0,,,
2021-07-26,BUY,GOOGL,27,132.9898,3590.72,momentum_score=0.8762,,0.0,,,
2021-07-27,BUY,COIN,14,235.3151,3294.41,momentum_score=0.9429,,0.0,,,
2021-07-27,SELL,TSM,32,104.5564,3345.8,max_holding_period,-167.72,30.0,109.7978,114.6626,104.6611
2021-07-29,SELL,AMZN,20,179.816,3596.32,max_holding_period,103.59,30.0,174.6365,186.5705,170.073
2021-07-29,SELL,AMD,39,102.847,4011.03,take_profit,413.59,4.3,92.2422,102.95,91.03
2021-07-30,BUY,AMD,35,106.2962,3720.37,momentum_score=0.9571,,0.0,,,
2021-08-03,SELL,MSFT,14,275.2726,3853.82,max_holding_period,282.92,30.0,255.0639,277.9954,254.3388
2021-08-03,SELL,ASML,5,743.9521,3719.76,take_profit,353.98,13.6,673.157,744.6968,653.4355
2021-08-04,SELL,NFLX,70,51.6833,3617.83,max_holding_period,25.06,30.0,51.3253,54.795,51.082
2021-08-04,SELL,AMD,35,118.6512,4152.79,take_profit,432.43,3.6,106.2962,118.77,106.19
2021-08-05,BUY,AMD,30,112.4623,3373.87,momentum_score=0.9952,,0.0,,,
2021-08-05,BUY,ASML,4,759.9959,3039.98,momentum_score=0.8595,,0.0,,,
2021-08-05,SELL,TSLA,16,237.9718,3807.55,max_holding_period,178.22,30.0,226.8333,238.21,214.46
2021-08-09,BUY,GS,10,354.6126,3546.13,momentum_score=0.8952,,0.0,,,
2021-08-09,SELL,COIN,14,280.1895,3922.65,take_profit,628.24,9.3,235.3151,280.47,230.18
2021-08-10,BUY,COIN,13,269.9397,3509.22,momentum_score=0.9857,,0.0,,,
2021-08-10,BUY,BAC,102,36.6923,3742.61,momentum_score=0.7429,,0.0,,,
2021-08-10,SELL,META,10,357.9598,3579.6,max_holding_period,84.61,30.0,349.4992,370.3735,334.3264
2021-08-11,SELL,CRWD,13,239.6401,3115.32,stop_loss,-384.66,13.6,269.229,269.229,239.88
2021-08-12,SELL,MU,43,68.4454,2943.15,stop_loss+max_holding_period,-419.81,30.0,78.2084,79.9735,68.5139
2021-08-13,BUY,TSLA,15,239.2957,3589.44,momentum_score=0.7833,,0.0,,,
2021-08-17,BUY,MSFT,12,281.5492,3378.59,momentum_score=0.7833,,0.0,,,
2021-08-18,SELL,PANW,55,60.3329,3318.31,max_holding_period,-232.64,30.0,64.5628,67.2733,60.3933
2021-08-18,SELL,AMD,30,103.3366,3100.1,stop_loss,-273.77,9.3,112.4623,112.4623,103.44
2021-08-18,SELL,COIN,13,244.1456,3173.89,stop_loss,-335.32,5.7,269.9397,278.4,244.39
2021-08-19,SELL,AAPL,25,143.0672,3576.68,max_holding_period,82.6,30.0,139.7631,147.5252,138.8534
2021-08-19,SELL,ORCL,45,83.133,3740.98,max_holding_period,137.64,30.0,80.0743,85.3175,79.9943
2021-08-19,SELL,COST,9,430.743,3876.69,take_profit,357.04,29.3,391.0714,431.1742,385.65
2021-08-20,BUY,NFLX,66,54.7427,3613.02,momentum_score=0.9262,,0.0,,,
2021-08-20,BUY,COST,8,436.0994,3488.8,momentum_score=0.8333,,0.0,,,
2021-08-23,BUY,NVDA,174,21.9042,3811.33,momentum_score=0.919,,0.0,,,
2021-08-24,SELL,AVGO,82,43.854,3596.03,max_holding_period,-26.51,30.0,44.1773,44.5098,42.4609
2021-08-25,BUY,PANW,49,74.5828,3654.56,momentum_score=0.9714,,0.0,,,
2021-08-25,BUY,CRWD,13,270.27,3513.51,momentum_score=0.781,,0.0,,,
2021-08-26,BUY,TSM,33,108.9733,3596.12,momentum_score=0.7333,,0.0,,,
2021-08-27,BUY,JPM,25,144.669,3616.73,momentum_score=0.7714,,0.0,,,
2021-08-31,BUY,META,9,376.8025,3391.22,momentum_score=0.7952,,0.0,,,
2021-09-01,BUY,AMZN,21,174.1239,3656.6,momentum_score=0.7452,,0.0,,,
2021-09-02,BUY,COIN,13,268.4482,3489.83,momentum_score=0.7119,,0.0,,,
2021-09-07,SELL,GOOGL,27,142.8694,3857.47,max_holding_period,266.75,30.7,132.9898,143.9391,130.7407
2021-09-07,SELL,NFLX,66,60.6103,4000.28,take_profit,387.26,12.9,54.7427,60.671,54.688
2021-09-08,BUY,NFLX,60,60.6656,3639.94,momentum_score=0.9857,,0.0,,,
2021-09-08,BUY,AAPL,24,151.5717,3637.72,momentum_score=0.8024,,0.0,,,
2021-09-13,BUY,AVGO,80,45.5419,3643.35,momentum_score=0.7333,,0.0,,,
2021-09-13,SELL,COIN,13,242.5972,3153.76,stop_loss,-336.06,7.9,268.4482,278.44,242.84
2021-09-14,SELL,ASML,4,847.5383,3390.15,take_profit,350.17,28.6,759.9959,848.3867,737.9332
2021-09-15,BUY,ASML,4,850.4401,3401.76,momentum_score=0.9405,,0.0,,,
