date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days
2021-06-15,BUY,NVDA,198,17.7449,3513.49,signal=trend_20,,0.0
2021-06-15,BUY,ASML,5,671.0914,3355.46,signal=trend_20,,0.0
2021-06-15,BUY,META,10,334.4621,3344.62,signal=trend_50,,0.0
2021-06-15,BUY,ORCL,46,76.3789,3513.43,signal=trend_50,,0.0
2021-06-15,BUY,GOOGL,29,120.4727,3493.71,signal=trend_50,,0.0
2021-06-22,SELL,ASML,5,654.5094,3272.55,rebalance,-82.91,
2021-06-22,SELL,ORCL,46,73.4626,3379.28,rebalance,-134.15,
2021-06-22,BUY,CRWD,14,256.8666,3596.13,signal=trend_20,,0.0
2021-06-22,BUY,AAPL,27,130.7278,3529.65,signal=trend_20,,0.0
2021-06-29,SELL,AAPL,27,132.755,3584.38,rebalance,54.73,
2021-06-29,BUY,ASML,5,672.9083,3364.54,signal=mom20_pos,,0.0
2021-07-07,SELL,META,10,347.4132,3474.13,rebalance,129.51,
2021-07-07,SELL,GOOGL,29,125.237,3631.87,rebalance,138.16,
2021-07-07,SELL,ASML,5,658.68,3293.4,rebalance,-71.14,
2021-07-07,BUY,AAPL,25,141.0608,3526.52,signal=trend_20,,0.0
2021-07-07,BUY,AMD,38,90.6305,3443.96,signal=trend_20,,0.0
2021-07-07,BUY,AMZN,19,185.0138,3515.26,signal=trend_20,,0.0
2021-07-14,SELL,AMZN,19,183.8999,3494.1,rebalance,-21.16,
2021-07-14,BUY,ASML,5,685.1774,3425.89,signal=mom20_pos,,0.0
2021-07-21,SELL,NVDA,198,19.3238,3826.11,rebalance,312.62,
2021-07-21,SELL,CRWD,14,253.2965,3546.15,rebalance,-49.98,
2021-07-21,SELL,AMD,38,89.3206,3394.18,rebalance,-49.78,
2021-07-21,BUY,GS,11,331.2189,3643.41,signal=dip_5,,0.0
2021-07-21,BUY,COIN,15,231.1009,3466.51,signal=dip_5,,0.0
2021-07-21,BUY,META,10,343.8777,3438.78,signal=trend_50,,0.0
2021-07-28,SELL,AAPL,25,141.1782,3529.45,rebalance,2.94,
2021-07-28,SELL,GS,11,331.2032,3643.24,rebalance,-0.17,
2021-07-28,SELL,COIN,15,241.5083,3622.62,rebalance,156.11,
2021-07-28,BUY,GOOGL,27,135.0327,3645.88,signal=trend_50,,0.0
2021-07-28,BUY,NVDA,187,19.4552,3638.12,signal=mom20_pos,,0.0
2021-07-28,BUY,COST,8,400.4127,3203.3,signal=trend_50,,0.0
2021-08-04,SELL,META,10,355.7692,3557.69,rebalance,118.92,
2021-08-04,SELL,GOOGL,27,133.8039,3612.71,rebalance,-33.18,
2021-08-04,SELL,COST,8,412.518,3300.14,rebalance,96.84,
2021-08-04,BUY,AMD,32,118.8888,3804.44,signal=trend_50,,0.0
2021-08-04,BUY,CRWD,14,264.4742,3702.64,signal=trend_50,,0.0
2021-08-04,BUY,AAPL,25,143.383,3584.58,signal=mom20_pos,,0.0
2021-08-10,SELL,AMD,32,106.3735,3403.95,stop_loss,-400.49,
2021-08-11,SELL,CRWD,14,239.6401,3354.96,rebalance,-347.68,
2021-08-11,SELL,AAPL,25,142.2479,3556.2,rebalance,-28.38,
2021-08-11,BUY,AMD,33,107.7877,3556.99,signal=trend_50,,0.0
2021-08-11,BUY,GOOGL,26,135.2163,3515.62,signal=trend_50,,0.0
2021-08-11,BUY,COST,8,422.1421,3377.14,signal=trend_50,,0.0
2021-08-18,SELL,COST,8,423.1098,3384.88,rebalance,7.74,
2021-08-18,BUY,CRWD,15,234.0138,3510.21,signal=dip_5,,0.0
2021-08-25,SELL,GOOGL,26,140.6894,3657.92,rebalance,142.3,
2021-08-25,SELL,CRWD,15,269.73,4045.95,rebalance,535.74,
