,book_fwd_1d,book_fwd_5d,book_fwd_20d,psq_fwd_1d,psq_fwd_5d,soxs_fwd_1d,soxs_fwd_5d,smh_fwd_1d,smh_fwd_5d,top10_fwd_1d,top10_fwd_5d,top10_fwd_20d,bottom10_fwd_1d,bottom10_fwd_5d,bottom10_fwd_20d,universe_fwd_1d,universe_fwd_5d,universe_fwd_20d,spread_fwd_1d,spread_fwd_5d,spread_fwd_20d,psq_fwd_20d,soxs_fwd_20d,smh_fwd_20d
book_trl_1d,-0.0833186301225249,0.006475743703547341,0.07014372095725056,0.10759003710327701,0.1777472290765476,0.09547618031066861,0.15334941227308738,-0.1263242128995817,-0.17634436081851548,0.034882169525234305,0.14167792267665058,0.09230965654235929,-0.11888485356028687,-0.1979476045343893,-0.09468986505341187,-0.09759103934723608,-0.15979133094064615,-0.0414407932287929,0.1745223173033375,0.2549712438938676,0.19117908601117786,0.04419254182409026,0.06344870048818685,-0.05037999497946324
book_trl_5d,-0.013066381386751794,-0.012118338669319976,0.16110798946540686,0.17249368295714987,0.2894684333158891,0.15145784951042973,0.2107240693487089,-0.16771759202781955,-0.18989299757746578,0.0256316728425638,0.13681204412332365,0.21122679071618983,-0.23343872798780724,-0.2855663699873386,-0.09040368865598632,-0.18028620530414338,-0.24081050635031856,0.027022576465515927,0.3053318980787561,0.33118938688319577,0.3075988073582033,0.009773669072267692,-0.008827581586742307,0.055859292730025545
book_trl_20d,0.021988947488494247,0.1608057091694436,-0.007372166224382784,0.16839603863251762,0.41539148897832123,0.0986229011714335,0.20262954899357494,-0.1229014356722783,-0.2284152464912581,0.03704925082557243,0.17776322135922332,0.07113157336454852,-0.29375059876187626,-0.5481218896503305,-0.3828202607334714,-0.2049765107786978,-0.4066192365784928,-0.2020301097402346,0.3882420099778695,0.5895453199273409,0.46569529242990393,0.21119131694015933,0.035328786453983574,-0.07393192218065892
spy_trl_1d,-0.10815721326346808,0.06211133065686081,0.02048576391924894,0.17582160865596888,0.15874701226554144,0.18092582481130656,0.1366099114575836,-0.1983694520106416,-0.14844140098867015,-0.10459382800461689,-2.3617558250876296e-05,-0.002793769226220576,-0.18539129018452963,-0.15425464943263148,-0.11659413651602321,-0.18768890968433766,-0.1579968298641975,-0.11127487349472642,0.13359113391190197,0.1388156518902247,0.11707549220040624,0.11791764978578614,0.10039534704377172,-0.08234466543657813
spy_trl_5d,-0.029578535583591935,0.03173763362373273,0.10817015592464507,0.20127182230108645,0.3263867095740687,0.21844444879067956,0.23974785846506924,-0.23908284885072334,-0.22608413268797345,-0.09556767675545674,0.007371442531682044,0.12721168900278312,-0.23613459439806242,-0.3125856046270141,-0.15726715290613583,-0.2277784176386775,-0.322821432517327,-0.06869597335238611,0.20297274901528084,0.2853224486177354,0.2910011148061738,0.09632847229889543,0.06429105269320652,-0.034460891474089636
spy_trl_20d,0.02082914139029682,0.12026713503903719,-0.030096509396267505,0.19786813588717805,0.4575493589060598,0.17172717174733115,0.28475145752015446,-0.1979320734440063,-0.2931611269698905,-0.049142845939902986,0.11074406237200367,0.049110622309590436,-0.3040075507877171,-0.5029699581358651,-0.4200157328338194,-0.24333743483382894,-0.43317798495481924,-0.23588536618956182,0.3257139115056272,0.5127172444631714,0.4818754281866197,0.278071373621259,0.11330806445893145,-0.13901809278382626
qqq_trl_1d,-0.1175830347421589,0.03787808265158156,0.026051391244540846,0.16388630955875286,0.14941172241652126,0.17124480136814424,0.12837913889096272,-0.1881037186644321,-0.1475915320705561,-0.07039867077093748,0.010942545562758534,0.029310806045307194,-0.17191322294798864,-0.15660190343297894,-0.10415371431505521,-0.17108783179961168,-0.15285277455953608,-0.09020840966990963,0.14705358406416277,0.1468741440478514,0.1369012747416366,0.09199920667805328,0.08557846344351511,-0.06597262733628716
qqq_trl_5d,-0.041168563785004504,0.05439951232307002,0.13464939245925248,0.21108414136998035,0.2984214425672158,0.21093835337753847,0.21375928656098964,-0.22893855120020745,-0.20487580693448515,-0.07273574850964898,0.03627588969195065,0.18113453389867884,-0.22480973164453186,-0.30459973872765994,-0.110772328396479,-0.2121238880875861,-0.28035993173794144,-0.023706909696939574,0.20914224152896269,0.29380751705242963,0.29797165150521254,0.06008792683608219,0.035479717874146006,0.004329021174696555
qqq_trl_20d,0.027606675359020328,0.15693257617178125,-0.0008877658025176858,0.19554050967074563,0.395347992027246,0.15408772300115786,0.22542813331941275,-0.18459938645405982,-0.2567677541092774,-0.016675767071829457,0.1522557575889081,0.09171934276573529,-0.29655471308391623,-0.4961102918191497,-0.34189781261293384,-0.23218664205212153,-0.3785170405858548,-0.16892149017111974,0.34497458640081774,0.5290516761894237,0.44482647723805613,0.22102035778552198,0.06914363642448726,-0.110327675015745
smh_trl_1d,-0.10380097270499675,0.02497865891311252,0.023548943013359847,0.1346337185671312,0.0914315060641721,0.12729221131098517,0.05819243916513611,-0.1490088446773742,-0.0868561964014259,-0.01149041135629066,0.06841842259026994,0.03293749730134599,-0.13764874455061138,-0.08786418824808698,-0.039080695354530015,-0.12110974698834485,-0.07705201555423069,-0.05801401283940924,0.15685494147912996,0.11617457887031477,0.07366026898576618,0.049979330415173384,0.05858913475713499,-0.05551771090421192
