,book_fwd_1d,book_fwd_5d,book_fwd_20d,psq_fwd_1d,psq_fwd_5d,soxs_fwd_1d,soxs_fwd_5d,smh_fwd_1d,smh_fwd_5d,top10_fwd_1d,top10_fwd_5d,top10_fwd_20d,bottom10_fwd_1d,bottom10_fwd_5d,bottom10_fwd_20d,universe_fwd_1d,universe_fwd_5d,universe_fwd_20d,spread_fwd_1d,spread_fwd_5d,spread_fwd_20d,psq_fwd_20d,soxs_fwd_20d,smh_fwd_20d
book_trl_1d,-0.054544310727571314,-0.024406639667857156,0.015032052432329262,0.07939773957416797,0.05221041313084076,0.09524008033648994,0.07352096711793382,-0.1008908927989203,-0.05735515457685839,-0.025179127272624915,-0.0021007876888100518,0.027318054678235774,-0.057481879228214156,-0.037320361371171756,-0.047880733910287035,-0.06155707463392047,-0.03261113351852607,-0.018409366191788352,0.04173583384927948,0.04292322282033086,0.08788076500419702,0.028273698185284708,0.041135686354291524,-0.023381270087493133
book_trl_5d,-0.0253209678342674,-0.0256794667951119,0.04167453529319037,0.04460137618063978,0.05955664538381216,0.05674007085987338,0.08557219605197854,-0.05631100142110615,-0.05435926141127485,-0.004206099218339568,-0.005155022437247559,0.062485648428122244,-0.040378717862352184,-0.05975377653245745,-0.09853908592637999,-0.03462162050051623,-0.04563667834987539,-0.02494490302562296,0.04352266819743322,0.06678553667678105,0.1880709761423506,0.04083253641664105,0.06924361905915423,-0.01715466911804558
book_trl_20d,0.013532333873513309,0.036211204778925324,0.020122459786712142,0.020520932215401327,0.03258252015052868,0.022261882088815063,0.043436070795796436,-0.022014975368792013,-0.020004117369753854,0.026353868626562117,0.05925634454985781,0.06942609203698591,-0.043676637952956864,-0.08961502913348436,-0.15951460899069012,-0.016445338329254745,-0.02464709629484149,-0.06163742714323744,0.07961462402825499,0.17204530765826268,0.26769655802430026,0.06940714808475382,0.07053790413667849,-0.027700640170006008
spy_trl_1d,-0.06761784066559202,-0.012803198851446873,0.00916985979832036,0.14074476836299754,0.07085894699168764,0.15701325128022892,0.09849404036933868,-0.15822321756900687,-0.07850819374359401,-0.07275718374196553,-0.028732673681707923,0.0046246767267038545,-0.10853731015270293,-0.052248238889486105,-0.0541698257901634,-0.12208082903777571,-0.0566045921305618,-0.03509556941256359,0.05216244380876969,0.03237682308647209,0.06918503047850065,0.042254239068341956,0.052320884010386336,-0.03943698273919377
spy_trl_5d,-0.01292526549601445,-0.01288031016032727,0.02613231615383196,0.06181436481102625,0.07648596830817357,0.0800310203612061,0.10419679299913442,-0.07855957498934515,-0.06802127176438816,-0.03111492710558943,-0.030881995322537954,0.04431244388392876,-0.0555683770986803,-0.08692194454568405,-0.10867438179526133,-0.05982473295402356,-0.07181042402696798,-0.04218980692040955,0.03318784979346116,0.07205827755134207,0.17910645429662422,0.06351954380304295,0.09438738607113527,-0.035637680733972464
spy_trl_20d,0.006842425294418767,0.021021681423141036,-0.014101284526916247,0.03913694089166537,0.062124856705962274,0.043358083470207656,0.08096121784327166,-0.04092311690708635,-0.04133959952069768,0.003922079249357057,0.04413862072885161,0.06028400946991452,-0.053181098147295255,-0.10490120469558484,-0.20544440021824964,-0.036371200017662406,-0.04500894976932474,-0.09574782084326988,0.06736882851412836,0.17451335049333416,0.31157059342335974,0.13640912747328765,0.1363971967532719,-0.08855297782257966
qqq_trl_1d,-0.05779680816991238,-0.020203489419950503,0.0012181293335873718,0.12065957543169752,0.06731315169384178,0.14551540309173688,0.09198242771357913,-0.1464460864621329,-0.07615584093711568,-0.06129400230926883,-0.027602056481024154,0.005605311044408031,-0.09384858961170905,-0.04628902790769902,-0.04541457237902272,-0.10385219714085375,-0.05180735020072547,-0.029168611044553334,0.04681129063661098,0.026375607351191897,0.05999119360454109,0.038377821334066954,0.052452546088495956,-0.03977251177599848
qqq_trl_5d,-0.020808638068410875,-0.022658418786107765,0.00808887324418244,0.06016172728808158,0.06560576923492939,0.0771093528574868,0.09866163483004857,-0.07665245880453081,-0.06920241573780207,-0.030000965962097885,-0.023726577114480358,0.043291430860982506,-0.05025358580979625,-0.07627551112159178,-0.09025215105419973,-0.055068349395348125,-0.06190761712957556,-0.03189945769850129,0.028046288217862675,0.06685976564382805,0.15621263606560593,0.05553538195439209,0.09383977899588762,-0.038453178585671384
qqq_trl_20d,-0.002213251580047201,0.001632794066019164,-0.02995638225508825,0.036684550705124344,0.05429899758329938,0.04367258605176562,0.07543072739286799,-0.042679116797558064,-0.04507732610739389,0.00505030994779775,0.04338977586830118,0.06414610210747729,-0.048116354972235126,-0.09055912097695801,-0.15422131776320788,-0.03196015026872817,-0.03609106941788645,-0.0634380971783739,0.06253961590001791,0.15633847305553478,0.2556240921082483,0.10997883822718836,0.11959431905067283,-0.0797310900741718
smh_trl_1d,-0.05106860556158575,-0.0053158093099136515,0.012132229144236185,0.09503242799292534,0.03966861734853044,0.1280909392191368,0.0725728928832149,-0.12919602561658633,-0.05818331787927761,-0.04773266256244014,-0.004193883597256603,0.017999954050934398,-0.08377409251566899,-0.02551265095631748,-0.03313566228747634,-0.08623324084127156,-0.029228916255609628,-0.0163546681604427,0.04916265746612876,0.026387789419919164,0.059775464355296654,0.017660188076367923,0.03852533951836468,-0.028613500768709103
smh_trl_5d,-0.004754254258642365,-0.006673483644396572,0.02753509206480965,0.03228983428056056,0.041364404929537635,0.057194584796152165,0.07961275294115147,-0.05830965644537462,-0.056870555187154066,-0.004637291305843602,-0.006202991283311644,0.05787772100416263,-0.02612501316645404,-0.054244176989240035,-0.07782107683531161,-0.030226984285963446,-0.043392976687423764,-0.018992230811025943,0.02615934584909128,0.059023529786227616,0.15833910588291183,0.02221054878310043,0.06403413737862328,-0.023232973803410783
smh_trl_20d,0.010409474030796066,0.022917389683442854,-0.006514281360473386,0.016945368745184246,0.02172905098341924,0.03079883475887759,0.048487771220796456,-0.0304031906403331,-0.026290750302499714,0.01862167710736325,0.0587094591474396,0.08201204971010585,-0.034286346432574964,-0.07567318591645497,-0.15219009577062562,-0.018168933034593954,-0.021852459670920036,-0.0602614942830566,0.06043680084143639,0.15478577187530235,0.2737849859529033,0.08078782879182547,0.09425672972460299,-0.06689128506532308
psq_trl_1d,0.05844963860453714,0.021297289164351592,-0.00011931512050863349,-0.12145299239891437,-0.06809722185142617,-0.14479759335163497,-0.09235375939068151,0.14563843534789575,0.07686610499782022,0.06003402900113886,0.02760433308586339,-0.005200287112670054,0.09130588171796454,0.04671622120708726,0.04495648986535215,0.10269647634947938,0.052458766292197166,0.029068112811262484,-0.04511961992239733,-0.026890527963285026,-0.058985132756732755,-0.038074641094069925,-0.052280550950397825,0.04034030436728875
psq_trl_5d,0.026077263015771752,0.026600191240168842,-0.009893508387562236,-0.06808685776894129,-0.06779511716882844,-0.0835675623064023,-0.09759325918767167,0.08353304745962524,0.06970146660391129,0.03383968433915224,0.026462808395833034,-0.04445533754674565,0.05583447357649435,0.07320139950578483,0.07831089486008466,0.06162616144761221,0.06065138804231386,0.023256755227503603,-0.030625299090661168,-0.06019407581722415,-0.14347348935329063,-0.04632811718149427,-0.08709825731088221,0.03351316779394903
psq_trl_20d,0.003987357400117524,-0.002148540075443062,0.026260943889030205,-0.04012318196438901,-0.05074555574646131,-0.04788971589910758,-0.07779582690274028,0.047423198448533356,0.04767490466372252,-0.001342407155306953,-0.0407765452665158,-0.06832871708393277,0.05133840475500549,0.08995009022587121,0.14510577474275713,0.03559106446399459,0.03582441066344172,0.054232390406190475,-0.06245251520621847,-0.15279049534844164,-0.2496895193968058,-0.09802670418167587,-0.11648608780787088,0.07758283122412797
soxs_trl_1d,0.05374261269452544,0.007124804435156457,-0.011720540286026536,-0.10006061002013299,-0.04311776521076883,-0.13289706756354666,-0.07512861075342242,0.13153726575221705,0.05925576021234674,0.05207492010165467,0.004498423861954743,-0.01973073272662201,0.08858513910582021,0.0280689181891487,0.03403237290376351,0.09167101917697296,0.031731754934050255,0.01749311473536708,-0.05029440975174868,-0.02915613927638632,-0.06282399481090174,-0.017455056660351086,-0.03815186699806432,0.027850624818791334
soxs_trl_5d,0.01617723601176758,0.022215690976194708,-0.02694287180175828,-0.0532136398601697,-0.055520156489916546,-0.07492606706177954,-0.08216409994351687,0.07517258001191715,0.06142265560463745,0.015498982722611158,0.01683117919373356,-0.058287882032543877,0.045136764984223546,0.05155425942574888,0.05459857548149376,0.04933593521113243,0.04825248832053144,0.00586997909510782,-0.037285494594693006,-0.04433576271490042,-0.13143258924633985,-0.007490930459984851,-0.05400961686046073,0.012832695573993726
soxs_trl_20d,-0.007633912137545978,-0.016288652516334955,0.006980795875731139,-0.024573330044308762,-0.017397688750968317,-0.03743331861554575,-0.052073823221237055,0.03805958202829068,0.029679170528665606,-0.011507867307626676,-0.05036950617373024,-0.08477711037054,0.043404480643139905,0.07356145872671367,0.12735387057502265,0.027235322096459243,0.02287669196933071,0.044431532342473073,-0.06376073201879402,-0.1432591169087747,-0.24768537607718524,-0.056892166364149344,-0.09463688087969159,0.06296454164882898
top10_trl_1d,-0.04342356606903866,-0.013064479919188951,0.009853378464890622,0.0783816426950862,0.04171844813081545,0.08447313144921657,0.051068750877572414,-0.08783236008064348,-0.03855147793235633,-0.03288658708710526,-0.020574000117760807,0.014428052028882154,-0.049130698304943654,-0.02530351484326301,-0.02544809582055645,-0.05763863444080655,-0.02880199469244721,-0.011362889716114762,0.02366379899342878,0.008515939599796138,0.04660274965389062,0.02193345671708196,0.02924841990137677,-0.008849039952520872
top10_trl_5d,-0.013251365568285607,-0.026691893890645482,0.03112626590896288,0.03334997083908829,0.05003420289128983,0.03546602733465601,0.05570168372355366,-0.03671967908528454,-0.03451649784884216,-0.02161109638181861,-0.04250240701477142,0.047986994357863286,-0.02631712535251972,-0.048067699121363605,-0.05635672052991541,-0.02890491154664856,-0.047064537557655786,-0.007736759066816617,0.008464374793829938,0.012506950746993262,0.12165992650446683,0.028880516981951123,0.05164063829409467,0.0024524534037406323
top10_trl_20d,0.010360527520653633,0.025543094442445177,0.010104062287167074,0.013138328016823747,0.023112479883118344,0.004105054899573976,0.017199909539972285,-0.006725498985822592,0.00028791224356053093,0.014485532762305254,0.04426990872857437,0.06920751270619338,-0.024570809096783868,-0.05545393891915614,-0.1231655236836302,-0.010142536078440175,-0.011825348882937502,-0.04508322550243757,0.044429528108173875,0.11463054875575257,0.22465646429136307,0.07211299160108166,0.05969320389685113,-0.010727339236880535
bottom10_trl_1d,-0.008114168610236687,0.01409601991598789,0.019476432259218742,0.05727875005150091,0.02506080804503028,0.08471084208392479,0.05796784186191577,-0.08230907483838971,-0.03776511914671456,-0.009834926814608298,-0.0012706270820962101,0.006851739691315239,-0.03724933095316062,-0.032153183396832055,-0.0441612220859254,-0.037393693272738754,-0.021831333433024725,-0.016912287517157114,0.03389386547922435,0.03756006036824665,0.059947609181973255,0.01912174768629758,0.048008381837662595,-0.02933915330452169
bottom10_trl_5d,0.014213311834309007,0.003056377562966133,0.0251788644408136,0.016194951187234716,0.03665514099113959,0.03802387750792578,0.08141718512264125,-0.03663202447264113,-0.049404514294604296,-0.002611687454371485,-0.022899791934763325,0.02456397832170787,-0.0324672985586843,-0.09120496113488427,-0.10202624019414848,-0.022499893240463274,-0.06233382342311991,-0.029918246916832217,0.03580769529680733,0.0857849090354908,0.1485397357884709,0.03812024660885082,0.09009177582898498,-0.04337393239171257
bottom10_trl_20d,0.020497955110458262,0.025610636471569023,0.04282806957801034,0.014784789531678758,0.0372636545325361,0.0317204894845405,0.07162957448374516,-0.03036247535328771,-0.04658441659786854,0.008631478298828642,0.03075718258370993,0.12010278191876966,-0.04443158703215436,-0.10318988893704335,-0.09385475984499858,-0.016770439389137297,-0.030076701521425612,0.023971073982916816,0.061825658844155605,0.1578380851518385,0.2487438253292063,0.012072721104012382,0.03295847537442803,-0.014551786538440088
universe_trl_1d,-0.0362210602350554,0.003501830335210707,0.016506519111471465,0.09053971030410081,0.0404896222513234,0.11333228100654412,0.07013165690407493,-0.11433640987379114,-0.0523585546441873,-0.03355588614368661,-0.008528689121984878,0.012506264512648121,-0.062382139555419096,-0.032697107372639214,-0.03857213745299549,-0.06794726287099451,-0.03009314845843238,-0.01665753834060267,0.038711064064682964,0.03041595572114323,0.059864269404416734,0.02265914468836875,0.04893898775590303,-0.03131716797783346
universe_trl_5d,0.0036943036849916597,-0.010337853236388243,0.024568640710385174,0.03153809586583091,0.05346197220445766,0.05145495986497313,0.0987237515988064,-0.050597206528486524,-0.0655273605870726,-0.00962266865810587,-0.03108241123768934,0.03752656253890975,-0.033746177229410826,-0.0854828492714311,-0.09229165575124575,-0.030844860113952828,-0.06821278564801801,-0.02527900755570523,0.029932196713058423,0.07006580734552129,0.15198235320582912,0.03806958246596736,0.09374241879529861,-0.040590783437017365
universe_trl_20d,0.015624584251048332,0.019916633489828063,0.002809569490323941,0.01757713069743574,0.03595859854467704,0.031983194004989585,0.0731485161402052,-0.03072183985370924,-0.043303127844807734,0.013275125446341714,0.03961651201342544,0.07776408107680778,-0.0391505155906603,-0.09198205280373714,-0.13347382295735968,-0.016924544855573844,-0.027886696623404303,-0.028846690110438444,0.060454622379468415,0.15380403864191922,0.24664124069999527,0.06240651343874204,0.08453210940213972,-0.045423174805438386
spread_trl_1d,-0.03622857289932659,-0.03062002467029978,-0.012976198611378095,0.014696144200776686,0.014154393655431773,-0.01153688371581425,-0.01521761984369688,0.005121753929175285,0.004339125117344568,-0.023046054620938807,-0.020221288150340477,0.0069388622904555,-0.007583017825545211,0.011625517202545673,0.026162465078945003,-0.016401589732373642,-0.004384995217521694,0.008322264387239157,-0.015334382113382351,-0.03581274931609404,-0.022860742010062707,0.00012813193348930582,-0.02677658558005583,0.025836384565314608
spread_trl_5d,-0.03149173846479687,-0.032445834564853206,0.0024617174276451914,0.016254991107447984,0.009375049520902394,-0.007940545303785376,-0.03884570101741698,0.004903241876286224,0.022800899387051522,-0.02009226050586077,-0.017960361578823435,0.02118680988634106,0.011035761670420901,0.058960162663289566,0.0644053391163347,-0.0038325099649499195,0.024995026898308837,0.028256533562737194,-0.03429868394669724,-0.09066500418418401,-0.05153946388407152,-0.01571689986724281,-0.054858744310557386,0.05553384938665584
spread_trl_20d,-0.012276254104958974,-0.0008971137381801938,-0.03978100061537682,-0.002341114303385575,-0.01750026032241437,-0.03275990318801758,-0.06498240480606718,0.028136968091192153,0.055469234437581595,0.006485882029473843,0.014575232657748153,-0.06490284301302847,0.024176999185201824,0.05826513728785349,-0.028137221480982088,0.008125560500554442,0.021977029831667882,-0.08018167039415378,-0.021851901545872642,-0.0547988632607746,-0.041594321313696156,0.06780562375905554,0.02859683066306835,0.005205326392963921
score_top10_trl_1d,0.007433796964153178,0.018863190695330885,0.04209777152421407,-0.01057270908506315,-0.015062880758504349,-0.002375635262946749,-0.00010669852560075499,0.005449045910176946,0.020413072247460695,0.015360868651870755,0.020085789833594655,0.0803517932493575,0.019202588611076793,0.002219009800421746,-0.0015403708012208135,0.01493953071149748,0.014849376307183769,0.04282179643142335,-0.006599322399930617,0.018913757339728908,0.09426461137239389,-0.038185202353734,-0.029784005666442574,0.060861318426044315
