,ZS,NET,ADSK,PLUG,CRWD,SHOP,MELI,AXON,ADBE,BAC,VRT,SMCI,AAPL,PYPL,MSFT,TSLA,NFLX,FTNT,AMZN,CDNS,INTC,TXN,ON,LLY,JPM,META,TTD,STX,MCHP,AMAT,WDAY,OKTA,GE,AVGO,DDOG,MDB,ADI,TSM,SE,AMD,SWKS,SEDG,SNPS,COST,NVDA,TER,ORCL,MPWR,NOW,GOOGL,MRVL,EBAY,ASML,CRM,SPOT,GS,MU,ANET,BA,KLAC,PFE,HUBS,SAP,LRCX,INTU,BKNG,TEAM,VRSN,TWLO,IBM,VST,NXPI,WDC,AKAM,CSCO,PINS,SNAP,QCOM,DELL,OXY,PANW,UBER,SNOW,PLTR,DASH,ABNB,SOFI,RBLX,COIN,APP,HOOD,NU,ARM
2019-12-02,0.9177,0.8927,0.8652,0.8451,0.8305,0.8146,0.7878,0.7665,0.7555,0.7256,0.6817,0.6659,0.661,0.6543,0.6476,0.6439,0.6378,0.6329,0.6274,0.6165,0.5963,0.5945,0.5909,0.5817,0.5811,0.5756,0.5665,0.5665,0.5616,0.5585,0.5543,0.5518,0.5433,0.5366,0.5335,0.5262,0.522,0.5195,0.5024,0.4994,0.4994,0.4951,0.4927,0.4854,0.4848,0.4762,0.475,0.4726,0.472,0.4677,0.4604,0.453,0.4433,0.4433,0.4433,0.4421,0.4335,0.4329,0.4293,0.4128,0.4128,0.4024,0.389,0.3543,0.353,0.3482,0.347,0.3421,0.3409,0.3335,0.3232,0.2963,0.2902,0.2829,0.278,0.275,0.2482,0.2116,0.2104,0.2043,0.2043,0.1055,,,,,,,,,,,
2019-12-03,0.9671,0.7494,0.7927,0.6055,0.7671,0.9409,0.6335,0.7104,0.6628,0.6171,0.697,0.8195,0.5634,0.7506,0.6793,0.675,0.4665,0.7378,0.5854,0.3921,0.3726,0.5146,0.2951,0.7055,0.5872,0.6354,0.5726,0.525,0.353,0.3244,0.6933,0.6006,0.4183,0.3939,0.4415,0.7116,0.4262,0.4902,0.703,0.5707,0.3817,0.8543,0.4957,0.5634,0.3506,0.2957,0.4341,0.3573,0.6805,0.6055,0.2805,0.4262,0.4811,0.7476,0.4171,0.361,0.2335,0.3634,0.397,0.2659,0.5622,0.5006,0.6488,0.253,0.4695,0.3409,0.6829,0.678,0.4787,0.3811,0.4323,0.361,0.1457,0.4396,0.2768,0.2098,0.3402,0.2043,0.2177,0.1683,0.2,0.3689,,,,,,,,,,,
2019-12-04,0.6268,0.803,0.7976,0.4433,0.6677,0.9805,0.607,0.5311,0.5238,0.6409,0.5747,0.764,0.5591,0.6659,0.6195,0.6689,0.4543,0.6567,0.3884,0.3683,0.3354,0.6707,0.4598,0.7689,0.7445,0.5762,0.5634,0.6524,0.6268,0.4348,0.4787,0.5659,0.3323,0.372,0.4018,0.5366,0.6878,0.4732,0.5994,0.772,0.528,0.8073,0.475,0.4811,0.3451,0.439,0.3677,0.5549,0.5421,0.7512,0.2262,0.4683,0.5159,0.4128,0.5384,0.4146,0.4634,0.5262,0.178,0.3671,0.5799,0.3354,0.6293,0.3104,0.4024,0.5384,0.511,0.4433,0.4567,0.3872,0.3189,0.5372,0.2567,0.386,0.2085,0.2128,0.3652,0.3195,0.1213,0.4287,0.4561,0.4988,,,,,,,,,,,
2019-12-05,0.5415,0.5262,0.6628,0.5055,0.6274,0.928,0.6567,0.5524,0.6433,0.6171,0.5549,0.7762,0.6567,0.5152,0.653,0.4976,0.514,0.7939,0.3018,0.3256,0.3476,0.5073,0.6091,0.8146,0.7238,0.6335,0.464,0.4823,0.6665,0.3305,0.3659,0.5591,0.2951,0.4335,0.4646,0.4567,0.675,0.7555,0.8811,0.725,0.6232,0.7543,0.3189,0.3957,0.3067,0.3689,0.4226,0.5555,0.5439,0.7232,0.2091,0.4293,0.7524,0.539,0.5415,0.4317,0.3244,0.478,0.311,0.3622,0.5335,0.8902,0.572,0.336,0.4024,0.4146,0.5628,0.3994,0.4049,0.4579,0.2713,0.5171,0.1683,0.372,0.2756,0.1707,0.372,0.3854,0.1726,0.3317,0.5439,0.5134,,,,,,,,,,,
2019-12-06,0.5079,0.5695,0.6293,0.6171,0.5555,0.8848,0.6518,0.5384,0.5884,0.6616,0.4409,0.6963,0.7226,0.461,0.6128,0.5811,0.5335,0.5585,0.3512,0.3415,0.3543,0.5872,0.6799,0.6963,0.7366,0.6616,0.6311,0.5305,0.7091,0.3866,0.4622,0.5799,0.4189,0.5189,0.5598,0.5067,0.7043,0.686,0.7207,0.603,0.661,0.739,0.3835,0.2927,0.4073,0.586,0.3506,0.6579,0.4372,0.7122,0.2573,0.3927,0.8354,0.2915,0.4982,0.6598,0.5445,0.2646,0.2713,0.3171,0.4811,0.7287,0.3921,0.4799,0.3311,0.5988,0.4854,0.4128,0.4256,0.3951,0.2354,0.5659,0.2665,0.4384,0.1848,0.1579,0.3872,0.3195,0.2707,0.5274,0.2701,0.3488,,,,,,,,,,,
2019-12-09,0.436,0.5091,0.7866,0.522,0.5024,0.9835,0.6848,0.5329,0.7799,0.5,0.6433,0.8085,0.6433,0.411,0.6506,0.6238,0.4835,0.578,0.3134,0.3463,0.2707,0.5659,0.5451,0.761,0.6762,0.6689,0.814,0.3159,0.753,0.3924,0.2835,0.6994,0.1951,0.5854,0.5177,0.5598,0.5817,0.7317,0.6067,0.5378,0.8152,0.6463,0.2866,0.3982,0.5229,0.4841,0.453,0.6323,0.4287,0.7598,0.1561,0.3878,0.7152,0.236,0.5671,0.5695,0.411,0.403,0.328,0.2317,0.5409,0.8073,0.3799,0.4567,0.3738,0.5415,0.5976,0.647,0.6293,0.4104,0.2378,0.4817,0.2695,0.2982,0.2268,0.197,0.3695,0.4707,0.3829,0.3488,0.2652,0.3341,,,,,,,,,,,
2019-12-10,0.4104,0.4341,0.6854,0.4018,0.4591,0.7848,0.675,0.5268,0.6561,0.6317,0.7701,0.7043,0.6866,0.3817,0.6122,0.6994,0.3902,0.5262,0.3104,0.3909,0.397,0.6421,0.6665,0.7982,0.6817,0.6189,0.7652,0.4616,0.7482,0.4811,0.2902,0.5561,0.2713,0.547,0.5183,0.4433,0.7195,0.6768,0.5701,0.6561,0.7896,0.2378,0.3213,0.386,0.6055,0.5098,0.5744,0.6299,0.4018,0.625,0.211,0.3982,0.7573,0.2006,0.5091,0.6805,0.7829,0.5213,0.2006,0.4738,0.6488,0.7768,0.3372,0.6018,0.239,0.4378,0.3628,0.4274,0.3043,0.4823,0.2555,0.65,0.4994,0.3055,0.3152,0.2555,0.2915,0.4573,0.3079,0.4707,0.186,0.4244,,,,,,,,,,,
2019-12-11,0.2591,0.3896,0.778,0.5073,0.4177,0.672,0.6951,0.5152,0.6616,0.6061,0.9555,0.5555,0.6341,0.5482,0.5994,0.6445,0.4274,0.5165,0.2622,0.3829,0.5,0.6293,0.6335,0.7524,0.6311,0.5866,0.7659,0.3848,0.7122,0.8244,0.4049,0.397,0.3061,0.6439,0.478,0.325,0.5744,0.9073,0.4079,0.5,0.9579,0.3848,0.278,0.3317,0.625,0.5134,0.6049,0.7488,0.4159,0.5957,0.5061,0.4305,0.7982,0.2841,0.403,0.5329,0.8933,0.3372,0.4317,0.4183,0.4585,0.6463,0.272,0.725,0.3049,0.4878,0.322,0.5201,0.3159,0.4713,0.0902,0.7043,0.5823,0.197,0.2896,0.1902,0.1799,0.5567,0.236,0.3128,0.239,0.514,,,,,,,,,,,
2019-12-12,0.1762,0.4982,0.5738,0.2232,0.1994,0.6811,0.5415,0.4524,0.5488,0.7549,0.847,0.436,0.5524,0.4165,0.5628,0.6799,0.3854,0.3616,0.3902,0.4329,0.5226,0.711,0.7841,0.6085,0.7445,0.425,0.6122,0.4232,0.8299,0.7415,0.2274,0.1829,0.6829,0.7415,0.1671,0.1854,0.5622,0.9329,0.4354,0.9396,0.8957,0.8055,0.5293,0.4329,0.772,0.503,0.5549,0.8232,0.2982,0.5195,0.5409,0.4128,0.7555,0.2878,0.2579,0.6439,0.9433,0.4226,0.3079,0.5299,0.4634,0.3274,0.5293,0.7689,0.203,0.547,0.2128,0.4427,0.2841,0.5213,0.1134,0.7335,0.8287,0.2067,0.4671,0.139,0.2476,0.5872,0.3671,0.4994,0.1287,0.4713,,,,,,,,,,,
2019-12-13,0.2756,0.4415,0.5841,0.0872,0.2902,0.925,0.4817,0.5287,0.8476,0.6384,0.6305,0.428,0.6049,0.6061,0.5677,0.6189,0.2994,0.5915,0.361,0.4598,0.461,0.664,0.7561,0.6396,0.5646,0.328,0.7244,0.4238,0.7707,0.6329,0.2585,0.286,0.4591,0.4884,0.6207,0.2213,0.5506,0.8957,0.1866,0.7445,0.8622,0.911,0.3433,0.3195,0.7567,0.4823,0.3421,0.7463,0.4902,0.497,0.5293,0.4628,0.7543,0.4079,0.2195,0.4366,0.9055,0.4726,0.147,0.4317,0.4262,0.4384,0.675,0.6823,0.4195,0.675,0.3543,0.4415,0.364,0.3116,0.122,0.6756,0.878,0.2561,0.4902,0.103,0.6872,0.4902,0.3799,0.325,0.1774,0.6652,,,,,,,,,,,
