ticker,n_folds,timed_return,hold_return,outperformance,test_win_rate,oos_trades,avg_frac_long,param_stability,modal_fast,modal_slow,modal_trailing,timed_sharpe,hold_sharpe,timed_max_drawdown,hold_max_drawdown,timed_calmar,hold_calmar,exposure_matched_return,beats_exposure_matched
NVDA,25,5.46642427291266,29.80180526076513,-24.335380987852467,0.24,184,0.5542857142857143,0.32,20,100,,1.0388895062138892,1.3064345913835111,-0.5152591745714126,-0.6633509527221216,0.6876057602151551,1.1234625625796673,16.518714915966957,False
MSFT,25,0.2986691431254338,1.4518530645454848,-1.153183921420051,0.36,190,0.5066666666666667,0.28,10,100,,0.33074236449888444,0.6327156278984005,-0.28376638228977363,-0.37148487230123717,0.15285748198546242,0.42227019807961713,0.7356055527030457,False
AAPL,25,0.7930671681800585,2.5979017707830243,-1.8048346026029658,0.28,127,0.4952380952380952,0.4,20,100,,0.6118930583322937,0.8076158593107563,-0.29155780520958535,-0.3336051402453712,0.3413403564829281,0.6931705194116651,1.2865799245782596,False
AMZN,25,0.45362275285589937,1.4620523622941701,-1.0084296094382708,0.28,168,0.4901587301587301,0.48,20,50,,0.3908252819755445,0.5832096718479792,-0.4077117604416533,-0.5614526325328256,0.153687858989199,0.28078508695351334,0.7166377293276821,False
GOOGL,25,0.37017199294411984,3.6924381362022007,-3.322266143258081,0.28,182,0.5282539682539682,0.48,20,50,,0.3460366547488816,0.9291353111198779,-0.454049562516281,-0.4432004826215261,0.11562902620402249,0.6442711758804579,1.9505450979810988,False
META,25,1.4124024268381903,2.018978389856415,-0.6065759630182246,0.4,163,0.4273015873015872,0.44,10,50,,0.7136740836488418,0.6253396769514665,-0.2884402364195821,-0.767360944566467,0.53328919542336,0.25626255548099697,0.8627126707132488,True
TSLA,25,4.741994927218588,11.049225872728034,-6.3072309455094455,0.44,142,0.4361904761904762,0.24,20,50,,0.8920636664806882,0.9345369073937095,-0.4388947209322632,-0.7363221744219122,0.7482466103251904,0.6768868093801013,4.8195670949613705,False
NFLX,25,0.11183811203719607,2.0942059418413925,-1.9823678298041965,0.28,194,0.46857142857142847,0.36,10,100,,0.19240047729209936,0.6396103268773179,-0.6063815874238021,-0.7594731825161353,0.028651945442465892,0.26523758159365807,0.9812850698913952,False
AVGO,25,0.6333326346161285,11.823054104278842,-11.189721469662715,0.16,223,0.5326984126984127,0.32,20,50,,0.41784545411158447,1.1513853724240417,-0.35758521905565305,-0.4829997719458655,0.23204988309472413,1.0634317962830575,6.2981221545967925,False
AMD,25,0.5291539730678398,3.819552072173142,-3.2903980991053023,0.4,154,0.3993650793650794,0.36,10,100,,0.3710087662992269,0.7332653800745891,-0.4745990608735626,-0.6544994295506877,0.15053229372547755,0.4448227563375301,1.5253957164424805,False
TSM,25,1.157814293206878,5.815210198692202,-4.657395905485323,0.28,166,0.48317460317460326,0.52,20,50,,0.6077819351054967,0.983340459402428,-0.370510262254365,-0.5646657284046646,0.35924114711774585,0.6480013568722638,2.80976188013001,False
ASML,25,1.4314807650321497,4.055890576774357,-2.624409811742207,0.36,175,0.4863492063492063,0.36,20,100,,0.6885862792589502,0.8179672796513285,-0.3895420084889253,-0.5686183842626349,0.3986726789891578,0.5297368749138385,1.972579163053433,False
MU,25,0.8821243786680419,6.80268395846094,-5.920559579792898,0.32,176,0.42476190476190473,0.56,20,100,,0.4831814072074704,0.8982202749148873,-0.5502061846810056,-0.5762897225740881,0.19667936378088108,0.6876154796336139,2.889520995689123,False
ORCL,25,0.22262593245993378,1.804907101040362,-1.582281168580428,0.36,176,0.4514285714285714,0.44,20,50,,0.257136112022448,0.6086648273482701,-0.3060048437484018,-0.5824985699540265,0.10848492669156301,0.31318757898415417,0.8147866341839347,False
CRWD,23,0.2248750546607161,3.5855428594318592,-3.3606678047711434,0.34782608695652173,146,0.47066942719116617,0.43478260869565216,20,50,,0.27045326612140025,0.7727023337596575,-0.48021896817598475,-0.6769220151886319,0.07594336754849591,0.4558465331968486,1.6876054038181691,False
PANW,25,-0.08580008980820342,3.2561489204897898,-3.341949010297993,0.2,162,0.49904761904761896,0.52,20,50,,0.0790810574221765,0.7745585489995556,-0.4810845604912159,-0.46802023366115075,-0.030076533575231212,0.5668963978239947,1.6249733660349044,False
JPM,25,0.07132383539735265,1.6203590823879557,-1.549035246990603,0.2,203,0.4882539682539682,0.44,20,50,,0.15007025256992762,0.6505492931076602,-0.3866740567801944,-0.4306198480681103,0.029111534185686728,0.3934516185830057,0.791146751972278,False
BAC,25,0.10034162364169696,0.7232494906072215,-0.6229078669655246,0.2,186,0.43999999999999995,0.48,10,50,,0.1764123700501243,0.4257613510214789,-0.31186052364935185,-0.48484250112124416,0.05020630148254346,0.19067680699771328,0.31822977586717743,False
GS,25,0.8888156593951761,3.471229212925776,-2.5824135535306,0.28,182,0.4958730158730159,0.68,10,100,,0.6600417383728696,0.8933848918993078,-0.31814004784523764,-0.45620996307208955,0.3421555689393096,0.6038769429348266,1.7212888986000197,False
COIN,16,-0.14130516939601778,0.41227892067364724,-0.553584090069665,0.5,90,0.32936507936507936,0.375,20,50,,0.19013675269478497,0.5416884037025446,-0.6794731048294056,-0.7898443039585614,-0.05581227705796058,0.11591735304452241,0.13579027942822508,False
COST,25,0.7252517807482184,2.8778595553236372,-2.1526077745754186,0.24,166,0.5447619047619048,0.56,20,50,,0.66458454132466,1.0387122073323058,-0.21116940851381016,-0.31402449277356187,0.4387678985965836,0.7844195030486596,1.5677482529953528,False
