factor,ic_train_5,ic_test_5,ic_test_t_5,ls_train_5,ls_test_5,ic_train_10,ic_test_10,ic_test_t_10,ls_train_10,ls_test_10,ic_train_20,ic_test_20,ic_test_t_20,ls_train_20,ls_test_20,ic_train_60,ic_test_60,ic_test_t_60,ls_train_60,ls_test_60
reversal_21,0.004184238630308789,0.018136461908289613,1.8223619554284116,-0.0016515244919405102,-0.0012543212117573416,0.010865105968580504,0.03128592718756653,3.2458341194975433,-0.002878545530818308,-0.0013277754413960634,0.01577285865201021,0.046296239305717975,4.651520256800687,-0.0007077388097053555,0.003882085836070363,-0.018947246456571455,0.009121599793241588,0.9263725132641281,-0.010207906228261216,-0.0007674892854829762
vol_trend,-0.0015248283492281154,-0.010123520251576128,-1.2362186051757662,-0.00025059250847376456,0.000718000407466134,-0.00904499374452208,0.0011070896316797954,0.13481321190434478,0.0003649463537380197,0.004191550483337976,-0.015731634165200292,0.00888317843294147,0.983970163885985,-0.0023807448015558566,0.003330510572352355,-0.012418762966943643,-0.006718033210570526,-0.8233572968993719,-0.01144855000339925,-0.007517629158898018
reversal_5,0.017908703929789684,0.015669080628335576,1.7274970789917932,0.0014922760034955839,0.0005599992953032197,0.015385159368038642,0.016502935004105965,1.8476343865664837,0.0001738761557212514,-0.0003372492505032505,0.008017628153673857,0.008444635932787593,0.9249475558002958,-0.0033515969276167925,-0.005247247128180006,-0.0038075044666982813,-0.007672675583123342,-0.8143511502628943,-0.0013315186527344846,-0.004319045640704616
accel_21_63,-0.00508324706696422,0.0031779628985682505,0.32671016247819834,-0.0007413721628378707,0.00024195350885224449,-0.011185992117107248,0.00543660086985614,0.5459950348900429,-0.002367541525863985,0.0010733324461054668,-0.01646420669970248,0.0026066350710900444,0.24724013147887647,-0.007530549951512074,-0.0023098291761297646,-0.03373165949019039,-0.052190346966466364,-5.261705919754285,-0.03422513035625344,-0.046680744981985316
vol_adj_mom_63,0.006702587542785543,-0.010255053444808976,-1.0734589095325406,-0.00011349155670431657,-0.00134680239881232,0.012679227538869006,-0.011813011344627271,-1.262826372027011,0.0012066434444309958,-0.002558254563124787,0.02064063781798098,-0.008069182002831294,-0.826569770678323,0.006177920757298968,-0.00012028123688551132,0.03158421577962236,0.04644149382955353,5.000435653248091,0.021634625832727558,0.034419657881443015
mom_252_21,-0.001235957770053802,-0.002907337133181139,-0.2849212917451806,-0.0014503451527988224,-0.002244431281775506,-0.005011111899296386,-0.000974786337783996,-0.0925753160124115,-0.002683791083449898,-0.0031948634951007994,-0.016306898326102184,-0.01138517880224041,-1.0401044198832181,-0.006888800265990081,-0.006298925918234361,-0.049225545228157655,-0.033683853459972865,-3.4311104643195325,-0.031407159300146224,-0.025562980439376104
mom_63,0.006459573241916984,-0.006944045477223588,-0.6784907627651615,0.0018090862591653943,0.0008255005424909367,0.013273083101918503,-0.009878645944219718,-0.9869324775981444,0.004982798730287589,0.002094934684768691,0.01282104078261935,-0.015198190435157265,-1.3874310803130823,0.009637079733464777,0.0038105386032670947,0.02987406036007694,0.03149673709375202,3.214760683550918,0.02668593233348719,0.03165336776566748
mom_252,-0.004408713509532949,-0.007718125878777801,-0.7311326691719361,-0.0009169708536984929,-0.0030672583906482622,-0.0076471976490089895,-0.006210651175522366,-0.5850769436139298,-0.0019002512094695358,-0.00599817501323962,-0.017627667802479093,-0.019108143041792328,-1.717109384687567,-0.0055113842082539916,-0.01131176420661726,-0.04345306084318757,-0.03802093428959101,-3.725012730334963,-0.02744729770111479,-0.02797161990496872
dist_200ma,0.0032178668499564184,-0.017761516713786802,-1.615337576823645,0.0010266432626646479,-0.0025128995604148494,0.003400930208535717,-0.017679978101523764,-1.6111380788524088,0.0033407961231723105,-0.0027617050751645787,-0.0033988361680145915,-0.030639502677417357,-2.693944060690103,0.007999772238108577,-0.0009061304217046448,-0.006309530390024955,-0.01762777023971054,-1.6417210945622118,0.009274443656088864,-0.002704266934309906
mom_126,0.009759589224525939,-0.005179686436962341,-0.47624850481709047,0.0011940468290175662,0.00011410831417572421,0.002368561671889843,-0.011352230907266038,-1.0336495114344744,0.0024761437641670596,-0.000255750724622876,-0.010785179136598539,-0.031048809010894317,-2.7183296140587987,0.003562127591310378,-0.0016965553792458285,-0.02260413489134802,-0.014117723072946942,-1.3648398022791934,-0.0005256820244867105,0.002993798120959949
mom_21,-0.004184238630308789,-0.018136461908289613,-1.8223619554284116,0.0007069245231768871,0.0003335949355417195,-0.010865105968580504,-0.03128592718756653,-3.2458341194975433,0.0010890079255009536,-0.0012536453035847026,-0.01577285865201021,-0.046296239305717975,-4.651520256800687,-0.0007258421487592563,-0.007172338931871872,0.018947246456571455,-0.009121599793241588,-0.9263725132641281,0.004630927568227787,-0.0061970907822226995
dist_50ma,-0.012505614746642819,-0.03349711987663093,-3.2504139578876816,-0.001189904827877477,-0.00190752156020071,-0.012837425998970451,-0.039354907387694274,-3.8970974961170457,-4.307360689184504e-05,-0.00319892838213424,-0.014262653455816579,-0.050646273158121494,-4.908532953302782,-0.0005148161859256008,-0.00798066893814027,0.028620159139706402,0.0011226335853201548,0.11391944487782023,0.01532328266343402,0.0015514608818018342
high_52w_prox,-0.013837136164949623,-0.031200492431752463,-2.9791692019301714,-0.0032795865296184707,-0.006148393528282055,-0.026911445334294997,-0.04213667748133629,-3.9246995078815266,-0.006784884198309723,-0.012155547354746783,-0.04138978910007311,-0.05815886468618462,-5.369902323949453,-0.01422245888178057,-0.023055788931178784,-0.059625451869716385,-0.0734373181145783,-7.472573617642117,-0.04839839195260952,-0.03931682403449758
low_vol,-0.012325106100002512,-0.03335500355290809,-2.8749564551406714,-0.006015398409457119,-0.01127902102623744,-0.022479362632197096,-0.05398886827458256,-4.7296933098399405,-0.011658645173811393,-0.022904179047714586,-0.022838996158776242,-0.06212531544285098,-5.994232304880339,-0.021835449680966467,-0.04189585891337053,-0.04234951051911279,-0.10975479744136461,-11.043691480305567,-0.05986736467055277,-0.1047625390545537
