date,book_fwd_1d,book_fwd_5d,book_fwd_20d,book_trl_1d,book_trl_5d,book_trl_20d,spy_trl_1d,spy_trl_5d,spy_trl_20d,qqq_trl_1d,qqq_trl_5d,qqq_trl_20d,smh_trl_1d,smh_trl_5d,smh_trl_20d,psq_trl_1d,psq_trl_5d,psq_trl_20d,soxs_trl_1d,soxs_trl_5d,soxs_trl_20d,top10_trl_1d,top10_trl_5d,top10_trl_20d,bottom10_trl_1d,bottom10_trl_5d,bottom10_trl_20d,universe_trl_1d,universe_trl_5d,universe_trl_20d,spread_trl_1d,spread_trl_5d,spread_trl_20d,score_top10_trl_1d,score_top10_trl_5d,score_top10_trl_20d,score_bottom10_trl_1d,score_bottom10_trl_5d,score_bottom10_trl_20d,score_universe_trl_1d,score_universe_trl_5d,score_universe_trl_20d,score_held_trl_1d,score_held_trl_5d,score_held_trl_20d,psq_fwd_1d,psq_fwd_5d,soxs_fwd_1d,soxs_fwd_5d,smh_fwd_1d,smh_fwd_5d,top10_fwd_1d,top10_fwd_5d,top10_fwd_20d,bottom10_fwd_1d,bottom10_fwd_5d,bottom10_fwd_20d,universe_fwd_1d,universe_fwd_5d,universe_fwd_20d,spread_fwd_1d,spread_fwd_5d,spread_fwd_20d,psq_fwd_20d,soxs_fwd_20d,smh_fwd_20d,spy_vol_trl_1d,spy_vol_trl_5d,spy_vol_trl_20d,qqq_vol_trl_1d,qqq_vol_trl_5d,qqq_vol_trl_20d
2016-06-20,-0.000174,-0.040657,0.065501,,,,0.00644,0.002307,0.016745,0.006292,-0.005411,0.009162,0.016792,0.008147,0.051154,-0.006536,0.004342,-0.010601,-0.036351,-0.009685,-0.146138,,,,,,,,,,,,,0.79278,,,0.22995,,,0.508929,,,,,,-0.00282,0.045489,-0.009081,0.198743,0.004743,-0.061314,0.008595,-0.055726,0.034727,0.002594,-0.06046,0.066338,0.00293,-0.065106,0.041934,0.006001,0.004734,-0.031611,-0.047744,-0.185121,0.075193,0.102232,,,0.099882,,
2016-06-21,-0.006688,-0.015043,0.073406,-0.000174,,,0.002838,0.007133,0.021022,0.003173,-0.002256,0.013696,0.004743,0.014187,0.049358,-0.00282,0.001888,-0.015405,-0.009081,-0.019357,-0.136115,0.008595,,,0.002594,,,0.00293,,,0.006001,,,0.84686,,,0.20519,,,0.508923,,,0.9473,,,0.002074,0.026202,0.00564,0.111737,-0.001224,-0.040217,-0.014444,-0.043725,0.033556,-0.004099,-0.036044,0.097157,-0.00706,-0.042919,0.056306,-0.010345,-0.007681,-0.063601,-0.056362,-0.216426,0.086553,0.045052,,,0.05037,,
2016-06-22,0.014723,0.013473,0.065942,-0.006688,,,-0.001631,0.006894,0.006313,-0.002418,-0.001804,-0.008615,-0.001224,0.014024,0.023289,0.002074,0.001319,0.007391,0.00564,-0.014167,-0.063362,-0.014444,,,-0.004099,,,-0.00706,,,-0.010345,,,0.81811,,,0.24186,,,0.508925,,,0.9154,,,-0.01392,0.006019,-0.078514,0.039257,0.025035,-0.019433,0.027404,-0.011145,0.040914,0.017404,-0.00633,0.092836,0.020696,-0.010573,0.053583,0.01,-0.004815,-0.051922,-0.056433,-0.203645,0.078606,0.025891,,,0.038385,,
2016-06-23,-0.025823,0.016155,0.070977,0.014723,,,0.013023,0.016972,0.012549,0.014267,0.009438,-0.00165,0.025035,0.038857,0.043114,-0.01392,-0.009823,0.000764,-0.078514,-0.092509,-0.120442,0.027404,,,0.017404,,,0.020696,,,0.01,,,0.83133,,,0.22597,,,0.508925,,,0.871867,,,0.040633,0.007821,0.171168,0.066945,-0.058412,-0.026302,-0.050891,-0.02328,0.016494,-0.036092,-0.016962,0.077832,-0.050005,-0.019122,0.041154,-0.014799,-0.006318,-0.061338,-0.047119,-0.150628,0.058582,0.206734,,,0.226482,,
2016-06-24,-0.02281,0.032431,0.117167,-0.025823,,,-0.035909,-0.015882,-0.02409,-0.041188,-0.020659,-0.045566,-0.058412,-0.015184,-0.021129,0.040633,0.018674,0.044419,0.171168,0.036351,0.040906,-0.050891,,,-0.036092,,,-0.050005,,,-0.014799,,,0.82847,0.82351,,0.2034,0.221274,,0.508929,0.508926,,0.857125,,,0.019615,-0.035747,0.114648,-0.063657,-0.030836,0.026483,-0.025812,0.019412,0.088204,-0.0405,0.015237,0.127995,-0.031831,0.028651,0.102681,0.014688,0.004175,-0.039791,-0.084143,-0.287756,0.129512,0.570038,0.30378,,0.653839,0.343831,
2016-06-27,0.02652,0.051421,0.155622,-0.02281,-0.040657,,-0.01791,-0.039692,-0.045672,-0.019849,-0.046099,-0.069352,-0.030836,-0.061314,-0.057506,0.019615,0.045489,0.070233,0.114648,0.198743,0.182633,-0.025812,-0.055726,,-0.0405,-0.06046,,-0.031831,-0.065106,,0.014688,0.004734,,0.79973,0.8249,,0.1917,0.213624,,0.508932,0.508927,,0.75839,0.870016,,-0.021216,-0.048544,-0.081003,-0.114802,0.027325,0.042298,0.021413,0.044913,0.12553,0.028649,0.03762,0.189892,0.026731,0.050655,0.149684,-0.007236,0.007293,-0.064362,-0.10302,-0.433275,0.199139,0.284312,0.305051,,0.315093,0.344738,
2016-06-28,0.02207,0.02856,0.125593,0.02652,-0.015043,,0.018036,-0.025139,-0.026607,0.021914,-0.028279,-0.050768,0.027325,-0.040217,-0.035325,-0.021216,0.026202,0.05056,-0.081003,0.111737,0.105115,0.021413,-0.043725,,0.028649,-0.036044,,0.026731,-0.042919,,-0.007236,-0.007681,,0.80989,0.817506,,0.22643,0.217872,,0.508925,0.508927,,0.727582,0.826073,,-0.017634,-0.035819,-0.059924,-0.041217,0.020404,0.016032,0.019134,0.025475,0.097035,0.026599,0.016907,0.161234,0.026498,0.028828,0.121899,-0.007465,0.008568,-0.064199,-0.089824,-0.383323,0.163053,0.286313,0.353969,,0.347874,0.407149,
2016-06-29,0.017409,0.010967,0.10711,0.02207,0.013473,,0.017027,-0.00692,-0.012057,0.01771,-0.008672,-0.034045,0.020404,-0.019433,-0.019605,-0.017634,0.006019,0.031437,-0.059924,0.039257,0.055912,0.019134,-0.011145,,0.026599,-0.00633,,0.026498,-0.010573,,-0.007465,-0.004814,,0.80026,0.813936,,0.18411,0.206322,,0.508929,0.508928,,0.737745,0.790542,,-0.012154,-0.02169,-0.053963,-0.016526,0.017854,0.006963,0.014796,0.007352,0.077083,0.006518,0.004308,0.125616,0.011877,0.009488,0.093654,0.008278,0.003044,-0.048533,-0.076664,-0.333558,0.138368,0.270295,0.387909,,0.281138,0.440331,
2016-06-30,-0.01022,0.014298,0.086664,0.017409,0.016155,,0.013646,-0.006309,-0.001615,0.01157,-0.011308,-0.024901,0.017854,-0.026302,-0.001926,-0.012154,0.007821,0.02087,-0.053963,0.066945,-0.001068,0.014796,-0.02328,,0.006518,-0.016962,,0.011877,-0.019122,,0.008278,-0.006317,,0.82874,0.813418,,0.18626,0.19838,,0.508927,0.508928,,0.750236,0.766216,,-0.004353,-0.025554,0.027808,-0.048485,-0.007367,0.016313,-0.009406,0.016702,0.055743,-0.004519,0.030881,0.120313,-0.003736,0.019751,0.078695,-0.004887,-0.014179,-0.06457,-0.067197,-0.287344,0.11384,0.216624,0.389365,,0.183668,0.434654,
2016-07-01,-0.004836,0.031789,0.097961,-0.01022,0.032431,,0.0021,0.032867,0.00348,0.005021,0.036341,-0.015375,-0.007367,0.026483,-0.011183,-0.004353,-0.035747,0.011928,0.027808,-0.063657,0.03705,-0.009406,0.019412,,-0.004519,0.015237,,-0.003736,0.028651,,-0.004887,0.004175,,0.83813,0.81535,,0.16224,0.190148,,0.508929,0.508928,,0.766155,0.748022,,0.006084,-0.026426,0.053764,-0.104405,-0.015904,0.037639,-0.001443,0.03708,0.060845,-0.019346,0.050356,0.118075,-0.011121,0.034184,0.081745,0.017903,-0.013276,-0.05723,-0.068251,-0.309053,0.125287,0.033336,0.239455,,0.079706,0.261138,
