date,volz_book_1d,volz_book_5d,volz_book_20d,volz_spread_1d,volz_spread_5d,volz_spread_20d,volz_top10_1d,volz_top10_5d,volz_top10_20d,volz_bottom10_1d,volz_bottom10_5d,volz_bottom10_20d,volz_universe_1d,volz_universe_5d,volz_universe_20d,volz_spy_1d,volz_spy_5d,volz_spy_20d,volz_qqq_1d,volz_qqq_5d,volz_qqq_20d,volz_smh_1d,volz_smh_5d,volz_smh_20d,volz_psq_1d,volz_psq_5d,volz_psq_20d,volz_soxs_1d,volz_soxs_5d,volz_soxs_20d
2016-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-19,,,,,,,,,,,,,,,,0.02197306089268731,-0.44987146554100643,-0.48715493765890666,-0.4566771048356065,0.2998192724609156,-0.03753025202824245,0.23434336981027032,0.7922450499833434,0.23520438462251494,0.48352287867877486,-0.34965339932899514,-0.019569799759412494,-0.06510099455451411,-0.7200822412985578,-0.20703214788433827
2016-09-20,-0.3197980919499848,1.0901690510228637,-0.5179482426964183,-0.5040401170926114,-0.44771021622263524,0.6046449259808437,-0.41193574417213796,0.6350222363373716,0.03158160139769388,-0.05996402676271106,0.9363724493700538,-0.3854579205595342,0.12434452097433166,0.740697451624208,0.013536059316532852,0.005543749092416462,0.3137029801471107,-0.4866167802012942,0.19766889319794337,0.8152620810729413,-0.011378477966054,-0.2557497904093696,1.025217300315229,0.17417479692995158,-0.21849415451127063,-0.8464253642784032,-0.03911851376377429,0.2751379913352162,-0.8708128581439614,-0.14056614928811942
2016-09-21,1.7743724083330161,1.6667812584886899,-0.0717979822987296,0.3616569505276793,-0.19603163157406267,0.8801347892298127,1.078542113813789,0.8630406823983141,0.23275168477755426,0.8181001501680749,0.9889918983011996,-0.3759190838889384,1.3299571209456502,1.2691293512556765,0.2201117197769083,1.3272626275456005,0.9311014104484605,-0.24822685410912698,1.0315136229439235,1.0558573295391471,0.1768679533434803,0.9434424623248456,1.1939557044833602,0.31158810787545943,-1.0075119804147732,-1.0538586990536298,-0.23013267015000194,-0.9303220415135428,-0.9880880468169229,-0.26543725517334127
2016-09-22,0.06604723360911148,1.1019683543177388,0.2713481150781736,0.35632652110454743,-0.3828791524006375,1.1151921879392526,0.6280097593191215,0.569018961967154,0.5884184632863271,0.37392841128563487,0.8189879642963172,-0.18129933351618438,0.4707572509639684,0.9074808993281713,0.4770773954474107,0.7347444190931806,0.7260114058115579,0.05110552921242111,0.8310208416340829,0.6942396217801124,0.51759669823271,0.3223136406502638,0.5709802815171173,0.5073573722475792,-0.8584491453016952,-0.7135541820650063,-0.5713704749204654,-0.2686857485081973,-0.4581361264872388,-0.4377472001195263
2016-09-23,-0.5712132512601109,0.8014787640697026,0.1508800153358001,-0.3091321524209467,-0.7921866170229596,0.9533158366989886,-1.2200376881292754,-0.203473021472276,0.2471326056990513,-0.9668993189884837,0.34392193225940876,-0.41164078364947637,-0.6120371315749449,0.7232690983320311,0.27286330823916843,-0.6475623991518314,0.6490203587859597,-0.0751349816771921,-0.6737879835586391,0.41865681762331297,0.408222267415266,-0.8071683968974419,0.2000780230750627,0.27766245771949494,0.739598336026104,-0.394875850756259,-0.4540026632671865,0.7771250694451163,-0.11854644865669019,-0.2398877153909972
2016-09-26,-0.841462007243901,0.04947758482629373,-0.22826374533338922,0.3713071286609122,0.11693984388609518,0.9011636814548584,-0.33815070104726475,-0.10446479100102463,0.07805755092814302,-0.5642450184881912,-0.17588772938690264,-0.566425751033674,-0.7913063506385128,0.34039766393765064,0.05837266530586472,-1.1405616837694659,0.24483837017982527,-0.28506766268301587,-1.0713829964951753,0.27458612602922255,0.20938981643917673,-0.7520913809356973,-0.22851868665296288,0.0769905912331905,1.021320726933989,-0.2847934316040174,-0.2833585594173788,0.7257584810779477,0.21901739459619218,-0.03338926361676401
2016-09-27,1.845967564558501,1.0336453081604513,0.15989885866369596,1.4418323686304773,1.0085494740295728,1.2668426377585638,1.895384109555451,0.9693568944296801,0.4510975774031792,0.6712905065545217,0.1371302545988205,-0.5424901789519099,1.4278241976313855,0.940742730970063,0.3151649629846249,0.915503748259745,0.6643934814799944,-0.25688034647256086,1.3335073793171925,0.773353116846121,0.47894204923555206,1.412695361005822,0.5318725495279985,0.3306219171791106,-1.2920565091867906,-0.7515295277479842,-0.5234708488529403,-1.466940666126523,-0.5795683007822567,-0.2967739251431317
2016-09-28,0.19096568546107184,0.27324774755158227,0.18902810063564704,-1.0631910380803558,0.3480454014525721,0.710257749314427,0.06487853908882533,0.39525192976527385,0.3933108145188046,0.9110476740670578,0.10522315042024372,-0.18562503849530576,0.7487693021879828,0.5126895383269847,0.5281331517976233,0.7677416029086148,0.26281799105252185,-0.042165718754017395,0.23960582303286188,0.2955014451699833,0.6637197336143414,0.11760702188297319,0.052595459112326666,0.39898032120478993,-0.2676939475300722,-0.30506115963414016,-0.7164276682864961,-0.17564941997934017,-0.1329699947672631,-0.3722135529980104
2016-09-29,0.3512936183641675,0.40484940037531436,0.4408350998194833,-1.581025479117511,-0.5257076940646713,0.6096350788448341,-0.46082260804698766,-0.15760995348478543,0.5518011362771866,0.856553062772032,0.28049428620624306,0.03845783602696261,-0.4019976889049954,0.05823535523416542,0.5926512675964761,-1.4699993214412466,-0.8364511752658237,-0.27002454758820266,-1.072645671853721,-0.6949550494085387,0.4819860215481572,1.1036864756089075,0.3555955075437852,0.6582855379710809,1.025132966922889,0.6829871658351048,-0.5627885631958772,-1.1146251281632695,-0.4752391099572141,-0.6270702362425005
2016-09-30,0.3739635616765385,0.8761905082632883,0.3942690170932982,-0.9074118855104477,-0.7978972685115017,0.04686503402894611,0.7669736233218075,0.8689192193953613,0.6185267934578443,1.5126630935776029,1.5203194930454857,0.5653513065201821,1.154707360031971,0.9701210022095941,0.7756476244121325,1.2459158912452586,0.10595923720773374,0.0004430351381508031,1.1093438283075394,0.21895963636473306,0.6480102466382854,1.444512612102921,1.5003623740521743,0.8036367385069985,-0.9933768362549322,-0.2228907322698354,-0.677751452242163,-1.3191656925970754,-1.4519595346525112,-0.7572235520314975
