date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2018-06-22,100000.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0
2018-06-25,29700.71,70229.13,99929.84,0.0,-70.15,-0.000702,-0.000702,-0.013613,-0.022531,0.000178,,1.0
2018-06-26,29700.71,70401.11,100101.82,0.0,101.83,0.001721,0.001018,-0.011429,-0.018538,-0.0002,,1.0
2018-06-27,29700.71,69783.01,99483.72,0.0,-516.27,-0.006175,-0.005163,-0.019619,-0.031885,0.001473,,1.0
2018-06-28,29700.71,70064.11,99764.82,0.0,-235.18,0.002826,-0.002352,-0.014013,-0.023557,-0.001047,,1.0
2018-06-29,29700.71,70119.34,99820.05,0.0,-179.94,0.000554,-0.001799,-0.012594,-0.020933,-0.001502,,1.0
2018-07-02,29700.71,70419.04,100119.75,0.0,119.75,0.003002,0.001197,-0.010483,-0.014374,-0.003201,,1.0
2018-07-03,29700.71,69912.76,99613.47,0.0,-386.52,-0.005057,-0.003865,-0.013977,-0.025781,-0.001205,,1.0
2018-07-05,29700.71,70384.98,100085.69,0.0,85.69,0.004741,0.000857,-0.005933,-0.013689,-0.004186,,1.0
2018-07-06,29700.71,71114.28,100814.99,0.0,815.0,0.007287,0.00815,0.002475,0.001654,-0.005535,,1.0
2018-07-09,29700.71,71606.18,101306.89,0.0,1306.89,0.004879,0.013069,0.011502,0.010666,-0.00601,,1.0
2018-07-10,29700.71,71677.88,101378.59,0.0,1378.59,0.000708,0.013786,0.015142,0.011408,-0.00552,,1.0
2018-07-11,29700.71,71409.53,101110.24,0.0,1110.25,-0.002647,0.011102,0.007716,0.006274,-0.005302,,1.0
2018-07-12,29700.71,72357.33,102058.04,0.0,2058.05,0.009374,0.02058,0.016852,0.023614,-0.004976,,1.0
2018-07-13,29700.71,72419.72,102120.43,0.0,2120.43,0.000611,0.021204,0.017653,0.024469,-0.004897,,1.0
2018-07-16,29700.71,72290.64,101991.35,0.0,1991.36,-0.001264,0.019914,0.016743,0.022017,-0.004809,,1.0
2018-07-17,29700.71,72686.91,102387.62,0.0,2387.63,0.003885,0.023876,0.020856,0.028234,-0.004211,,1.0
2018-07-18,29700.71,72533.69,102234.4,0.0,2234.41,-0.001496,0.022344,0.023004,0.026295,-0.004697,,1.0
2018-07-19,29700.71,72208.76,101909.47,0.0,1909.48,-0.003178,0.019095,0.019145,0.021161,-0.005257,,1.0
2018-07-20,29700.71,72181.59,101882.3,0.0,1882.3,-0.000267,0.018823,0.017981,0.020933,-0.005256,,1.0
2018-07-23,29700.71,72360.09,102060.8,0.0,2060.81,0.001752,0.020608,0.019874,0.024184,-0.0051,,1.0
2018-07-24,29700.71,72659.74,102360.45,0.0,2360.46,0.002936,0.023605,0.025006,0.028405,-0.004209,,1.0
2018-07-25,29700.71,73672.37,103373.08,0.0,3373.08,0.009893,0.033731,0.033741,0.042779,-0.000886,,1.0
2018-07-26,29700.71,72475.49,102176.2,0.0,2176.2,-0.011578,0.021762,0.031302,0.026979,-0.006256,,1.0
2018-07-27,29700.71,71470.89,101171.6,0.0,1171.61,-0.009832,0.011716,0.024314,0.013119,-0.009497,,1.0
2018-07-30,29700.71,70546.41,100247.12,0.0,247.13,-0.009138,0.002471,0.018964,-0.001198,-0.011386,,1.0
2018-07-31,29700.71,70943.3,100644.01,0.0,644.02,0.003959,0.00644,0.023986,0.006445,-0.010788,,1.0
2018-08-01,29700.71,71191.27,100891.98,0.0,891.99,0.002464,0.00892,0.022276,0.010267,-0.010923,,1.0
2018-08-02,29700.71,72004.81,101705.52,0.0,1705.53,0.008063,0.017055,0.027844,0.024013,-0.00981,,1.0
2018-08-03,29700.71,72217.65,101918.36,0.0,1918.37,0.002093,0.019184,0.032249,0.027151,-0.009121,,1.0
2018-08-06,29700.71,72653.53,102354.24,0.0,2354.24,0.004277,0.023542,0.036034,0.033196,-0.007785,,1.0
2018-08-07,29700.71,72898.2,102598.91,0.0,2598.92,0.00239,0.025989,0.039455,0.036961,-0.006892,0.083281,1.0
2018-08-08,29700.71,72992.15,102692.86,0.0,2692.86,0.000916,0.026929,0.039019,0.038216,-0.006157,0.081927,1.0
2018-08-09,29700.71,72967.12,102667.83,0.0,2667.84,-0.000244,0.026678,0.037599,0.037588,-0.006279,0.080692,1.0
2018-08-10,29700.71,72337.16,102037.87,0.0,2037.88,-0.006136,0.020379,0.030647,0.02966,-0.009168,0.08168,1.0
2018-08-13,29700.71,72274.78,101975.49,0.0,1975.49,-0.000611,0.019755,0.026789,0.028519,-0.009247,0.080536,1.0
2018-08-14,29700.71,72757.05,102457.76,0.0,2457.76,0.004729,0.024578,0.033341,0.034964,-0.007091,0.080136,1.0
2018-08-15,29700.71,71785.69,101486.4,0.0,1486.41,-0.009481,0.014864,0.025625,0.022302,-0.011485,0.083351,1.0
2018-08-16,29700.71,72044.95,101745.66,0.0,1745.66,0.002555,0.017457,0.033923,0.025667,-0.009976,0.082402,1.0
2018-08-17,29700.71,71998.54,101699.25,0.0,1699.26,-0.000456,0.016992,0.037563,0.025895,-0.010796,0.081345,1.0
2018-08-20,29700.71,71961.18,101661.89,0.0,1661.89,-0.000367,0.016619,0.039783,0.024983,-0.010753,0.080321,1.0
2018-08-21,29700.71,72201.2,101901.91,0.0,1901.92,0.002361,0.019019,0.042222,0.028747,-0.010065,0.079456,1.0
2018-08-22,29700.71,72488.5,102189.21,0.0,2189.21,0.002819,0.021892,0.041603,0.03274,-0.00901,0.078691,1.0
2018-08-23,29700.71,72362.45,102063.16,0.0,2063.17,-0.001233,0.020632,0.04022,0.031257,-0.009498,0.077865,1.0
2018-08-24,29700.71,73047.65,102748.36,0.0,2748.37,0.006713,0.027484,0.04648,0.040839,-0.007063,0.078384,1.0
2018-08-27,29700.71,73868.55,103569.26,0.0,3569.26,0.007989,0.035693,0.054742,0.051449,-0.003279,0.079422,1.0
2018-08-28,29700.71,73999.24,103699.95,0.0,3699.96,0.001262,0.037,0.055252,0.052989,-0.002586,0.078542,1.0
2018-08-29,29700.71,75004.92,104705.63,0.0,4705.64,0.009698,0.047056,0.06093,0.065138,0.00234,0.080369,1.0
2018-08-30,29700.71,74839.01,104539.72,0.0,4539.73,-0.001585,0.045397,0.056636,0.063256,0.001567,0.079728,1.0
2018-08-31,29700.71,74916.24,104616.95,0.0,4616.96,0.000739,0.046169,0.056672,0.064625,0.00181,0.078894,1.0
2018-09-04,29700.71,74574.85,104275.56,0.0,4275.57,-0.003263,0.042756,0.054852,0.060061,0.000305,0.078651,1.0
2018-09-05,29700.71,73359.63,103060.34,0.0,3060.35,-0.011654,0.030603,0.052013,0.046372,-0.006338,0.082673,1.0
2018-09-06,29700.71,72566.79,102267.5,0.0,2267.51,-0.007693,0.022675,0.048846,0.037018,-0.010576,0.083872,1.0
2018-09-07,29700.71,72314.7,102015.41,0.0,2015.42,-0.002465,0.020154,0.046808,0.033025,-0.01155,0.083303,1.0
2018-09-10,29700.71,72547.03,102247.74,0.0,2247.75,0.002277,0.022477,0.048628,0.036504,-0.010493,0.082614,1.0
2018-09-11,29700.71,73110.83,102811.54,0.0,2811.55,0.005514,0.028115,0.052086,0.04449,-0.008341,0.082568,1.0
2018-09-12,29700.71,72890.57,102591.28,0.0,2591.29,-0.002142,0.025913,0.05234,0.04141,-0.009111,0.082008,1.0
2018-09-13,29700.71,73681.79,103382.5,0.0,3382.51,0.007712,0.033825,0.058565,0.052532,-0.005654,0.082687,1.0
2018-09-14,29700.71,73447.58,103148.29,0.0,3148.29,-0.002265,0.031483,0.058747,0.049453,-0.007041,0.082175,1.0
2018-09-17,29700.71,72297.97,101998.68,0.0,1998.69,-0.011145,0.019987,0.053141,0.034337,-0.012043,0.084972,1.0
2018-09-18,29700.71,72849.97,102550.68,0.0,2550.68,0.005412,0.025507,0.058856,0.042893,-0.01063,0.084886,1.0
2018-09-19,29700.71,72817.26,102517.97,0.0,2517.97,-0.000319,0.02518,0.059984,0.042094,-0.010382,0.084189,1.0
2018-09-20,29700.71,73618.93,103319.64,0.0,3319.65,0.00782,0.033196,0.068574,0.053616,-0.007419,0.084818,1.0
2018-09-21,29700.71,73191.36,102892.07,0.0,2892.08,-0.004138,0.028921,0.067598,0.047855,-0.009125,0.08465,1.0
2018-09-24,29700.71,73431.12,103131.83,0.0,3131.83,0.00233,0.031318,0.064051,0.050769,-0.007985,0.084057,1.0
2018-09-25,29700.71,73539.55,103240.26,0.0,3240.27,0.001051,0.032403,0.063064,0.052197,-0.007538,0.083405,1.0
2018-09-26,29700.71,73482.35,103183.06,0.0,3183.07,-0.000554,0.031831,0.059883,0.052941,-0.008223,0.082787,1.0
2018-09-27,29700.71,74308.87,104009.58,0.0,4009.58,0.00801,0.040096,0.062845,0.061855,-0.003641,0.083442,1.0
2018-09-28,29700.71,74247.47,103948.18,0.0,3948.19,-0.00059,0.039482,0.062954,0.061626,-0.00417,0.082849,1.0
2018-10-01,29700.71,74431.57,104132.28,0.0,4132.29,0.001771,0.041323,0.066647,0.063798,-0.003041,0.082269,1.0
2018-10-02,29700.71,74247.47,103948.18,0.0,3948.19,-0.001768,0.039482,0.066026,0.061398,-0.00417,0.081794,1.0
2018-10-03,29700.71,74382.44,104083.15,0.0,4083.16,0.001298,0.040831,0.066611,0.062541,-0.002822,0.081219,1.0
