parameter,value,total_return,excess_vs_spy,excess_vs_qqq,excess_vs_equal_weight,max_drawdown,total_trades,win_rate,profit_factor,avg_holding_period
max_total_exposure,50%,0.3307025,-1.7294985,-3.0934565,-4.3437595,-0.3238269923926212,108,0.33962264150943394,1.042067299034265,64.65094339622641
max_total_exposure,70%,0.12206880000000005,-1.9381322,-3.3020902,-4.5523932,-0.47511408199630945,110,0.3148148148148148,0.9505226686387954,65.27407407407406
max_total_exposure,90%,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_total_exposure,100%,-0.015913099999999975,-2.0761141000000003,-3.4400721,-4.6903751,-0.5574128761712647,99,0.3469387755102041,0.9429760478316634,62.86326530612245
max_position_pct,22.50%,0.2990474000000001,-1.7611536,-3.1251116,-4.3754146,-0.2930138523734883,108,0.33962264150943394,1.0443569743935557,64.31320754716981
max_position_pct,45.00%,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_position_pct,67.50%,-0.870645,-2.9308460000000003,-4.294804,-5.545107,-0.9115742146664843,83,0.2926829268292683,0.5297643892073364,50.82439024390244
max_position_pct,90.00%,-0.9326504,-2.9928514,-4.3568093999999995,-5.6071124,-0.9544260935579809,79,0.3076923076923077,0.5493099730150943,51.59743589743589
max_position_pct,135.00%,0.0,-2.060201,-3.424159,-4.674462,0.0,0,0.0,,0.0
max_new_trades_per_day,1,-0.03415160000000003,-2.0943526,-3.4583106,-4.7086136000000005,-0.5803019621167599,101,0.32,0.9066964040938768,65.52600000000001
max_new_trades_per_day,2,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_new_trades_per_day,3,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_new_trades_per_day,5,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
min_composite_score,none,0.15303080000000002,-1.9071702000000001,-3.2711281999999997,-4.5214312,-0.4669422530922365,103,0.3333333333333333,0.9379806416082059,65.29215686274509
min_composite_score,0.60,-0.17986039999999995,-2.2400614,-3.6040194,-4.8543224,-0.6162742112994594,107,0.32075471698113206,0.867481646290409,62.07169811320754
min_composite_score,0.70,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
slippage,0.05%,0.3176994,-1.7425016000000002,-3.1064596,-4.3567626,-0.42910596393837686,101,0.34,0.97227626578124,66.4
slippage,0.10%,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
slippage,0.20%,0.2213044,-1.8388966000000002,-3.2028545999999998,-4.4531576,-0.4568909771061351,103,0.35294117647058826,0.9558630885516799,65.15294117647058
slippage,0.50%,0.07997520000000004,-1.9802258000000001,-3.3441837999999997,-4.5944868,-0.5054599274591994,103,0.35294117647058826,0.9305260148400866,64.74509803921569
reentry_recover_pct,off,0.36314420000000014,-1.6970568,-3.0610147999999997,-4.3113178,-0.47725093212270425,105,0.34615384615384615,0.986588461300831,67.22692307692309
reentry_recover_pct,0%,0.36314420000000014,-1.6970568,-3.0610147999999997,-4.3113178,-0.47725093212270425,105,0.34615384615384615,0.986588461300831,67.22692307692309
reentry_recover_pct,5%,0.4323029999999999,-1.6278980000000003,-2.9918560000000003,-4.242159,-0.46446985323108403,105,0.34615384615384615,0.9972847000852061,67.17115384615386
reentry_recover_pct,10%,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
stop_loss_score_max,off,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
stop_loss_score_max,0.85,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
stop_loss_score_max,0.90,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
stop_loss_score_max,0.95,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_hold_score_max,off,0.31315880000000007,-1.7470422,-3.1110002,-4.3613032,-0.5405430925178474,101,0.4,0.9699155751565258,66.002
max_hold_score_max,0.70,-0.2416672,-2.3018682000000004,-3.6658262,-4.9161292,-0.7387745067178532,97,0.3125,0.8525140648741842,66.97291666666666
max_hold_score_max,0.80,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
max_hold_score_max,0.90,0.4287016,-1.6314994,-2.9954574,-4.2457604,-0.5221006889396107,101,0.36,0.9908525619649456,65.932
score_exit_below,off,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
score_exit_below,0.40,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
score_exit_below,0.50,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
score_exit_below,0.60,-0.22196589999999997,-2.2821669,-3.6461249,-4.8964279,-0.5478673831829854,129,0.28125,0.8589761262201876,49.7890625
score_entry_above,off,0.0030238999999999943,-2.0571771,-3.4211351,-4.6714381000000005,-0.5649177319995887,99,0.30612244897959184,0.9120361389876931,67.73877551020408
score_entry_above,0.80,0.14095050000000003,-1.9192505000000002,-3.2832084999999998,-4.5335115,-0.5052512572862736,99,0.32653061224489793,0.9344160167008786,66.96938775510205
score_entry_above,0.85,0.14095050000000003,-1.9192505000000002,-3.2832084999999998,-4.5335115,-0.5052512572862736,99,0.32653061224489793,0.9344160167008786,66.96938775510205
score_entry_above,0.90,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
target_vol,off,0.27850539999999996,-1.7816956000000002,-3.1456536,-4.3959566,-0.4415998610103772,103,0.35294117647058826,0.9664566010749164,65.15294117647058
target_vol,15%,-0.2927711,-2.3529721,-3.7169301,-4.9672331000000005,-0.5367439781827035,107,0.32075471698113206,0.748381462467054,65.54905660377358
target_vol,20%,-0.30342679999999994,-2.3636278,-3.7275858,-4.9778888,-0.5244082435484428,105,0.3269230769230769,0.7691751637637431,67.45576923076923
target_vol,25%,-0.3868358,-2.4470368000000002,-3.8109948,-5.0612978,-0.620073097048975,107,0.32075471698113206,0.7454325532323363,63.903773584905665
target_vol,30%,-0.34906230000000005,-2.4092633,-3.7732213,-5.0235243,-0.6074853941301942,103,0.3137254901960784,0.7710932192749226,67.15294117647059
target_vol,60%,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
signal_weights,baseline,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
signal_weights,no_1d,0.277545,-1.7826560000000002,-3.146614,-4.396917,-0.45678262604056935,101,0.34,0.9655592346302484,66.41
signal_weights,less_1d,0.25436529999999996,-1.8058357000000003,-3.1697937,-4.4200967,-0.4561415830581825,101,0.34,0.9615172160758536,66.384
signal_weights,more_volume,-0.1403172,-2.2005182000000003,-3.5644762,-4.8147792,-0.5640416180391195,105,0.3269230769230769,0.8672468276842176,63.334615384615375
