date,action,ticker,shares,price,trade_value,reason,realized_pnl,holding_days,entry_price,highest_price,lowest_price
2018-06-25,BUY,TQQQ,6183,6.8195,42164.97,momentum_score=0.8,,0.0,,,
2018-06-25,BUY,SQQQ,1,28134.3152,28134.32,momentum_score=0.7,,0.0,,,
2018-10-29,SELL,TQQQ,6183,5.6049,34655.1,max_holding_period,-7509.87,90.0,6.8195,8.638,5.6105
2018-11-01,BUY,TQQQ,6624,6.4987,43047.39,momentum_score=0.7,,0.0,,,
2018-11-01,SELL,SQQQ,1,25990.2864,25990.29,max_holding_period,-2144.03,92.1,28134.3152,30486.3223,21596.1699
2018-11-02,BUY,SQQQ,1,27259.0697,27259.07,momentum_score=0.7,,0.0,,,
2018-12-17,SELL,TQQQ,6624,4.7765,31639.54,stop_loss,-11407.85,32.9,6.4987,6.8472,4.7813
2018-12-31,BUY,TQQQ,8895,4.4235,39347.03,momentum_score=0.775,,0.0,,,
2019-03-11,SELL,SQQQ,1,21983.3345,21983.33,max_holding_period,-5275.74,92.1,27259.0697,41857.4219,22005.3398
2019-05-06,SELL,TQQQ,8895,7.912,70377.24,max_holding_period,31030.21,90.0,4.4235,8.0727,4.048
2019-05-07,BUY,SQQQ,2,18074.8595,36149.72,momentum_score=0.8,,0.0,,,
2019-05-07,BUY,TQQQ,5948,7.4667,44411.93,momentum_score=0.7,,0.0,,,
2019-09-10,SELL,SQQQ,2,15881.0308,31762.06,max_holding_period,-4387.66,90.0,18074.8595,23356.2988,15285.126
2019-09-23,BUY,SQQQ,2,15877.9715,31755.94,momentum_score=0.7,,0.0,,,
2019-09-24,SELL,TQQQ,5948,7.2693,43237.8,max_holding_period,-1174.14,100.0,7.4667,8.3627,5.6105
2019-09-25,BUY,TQQQ,6206,7.5169,46649.88,momentum_score=0.7,,0.0,,,
2019-12-16,SELL,SQQQ,2,11867.6839,23735.37,stop_loss,-8020.58,60.0,15877.9715,17511.7266,11879.5635
2020-01-29,SELL,TQQQ,6206,11.6147,72080.83,max_holding_period,25430.95,90.0,7.5169,12.1134,6.81
