parameter,value,total_return,excess_vs_spy,excess_vs_qqq,excess_vs_equal_weight,max_drawdown,total_trades,win_rate,profit_factor,avg_holding_period
max_total_exposure,50%,0.48671850000000005,-0.1258125,-0.32710249999999996,-0.39984149999999996,-0.1957287424255831,93,0.5,1.7983853514609254,35.858695652173914
max_total_exposure,70%,0.7037563,0.09122529999999995,-0.11006470000000002,-0.1828037,-0.26537610824286456,93,0.5,1.7277691505101342,35.858695652173914
max_total_exposure,90%,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
max_total_exposure,100%,1.101275,0.48874399999999996,0.287454,0.214715,-0.36418143343807124,91,0.5111111111111111,1.718759691701434,35.668888888888894
max_new_trades_per_day,1,1.0555094,0.4429784,0.24168840000000003,0.16894940000000003,-0.3299497376768188,91,0.5111111111111111,1.806003330473151,36.480000000000004
max_new_trades_per_day,2,0.9231895999999999,0.3106585999999999,0.10936859999999993,0.03662959999999993,-0.3313346122086511,93,0.5,1.6585635093642286,35.82826086956522
max_new_trades_per_day,3,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
max_new_trades_per_day,5,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
min_composite_score,none,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
min_composite_score,0.60,0.9679473999999999,0.35541639999999985,0.15412639999999989,0.08138739999999989,-0.3347688091140082,94,0.5,1.715626135206275,33.97826086956522
min_composite_score,0.70,0.754794,0.14226299999999992,-0.05902700000000005,-0.13176600000000005,-0.333443106441326,90,0.4772727272727273,1.6288832242691789,34.26818181818183
slippage,0.05%,1.1470212,0.5344901999999999,0.33320019999999995,0.26046119999999995,-0.3035100055287757,93,0.5217391304347826,1.8124909931821174,35.50000000000001
slippage,0.10%,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
slippage,0.20%,0.9354932,0.3229622,0.12167220000000001,0.04893320000000001,-0.3304765667576393,93,0.5,1.6658292857592731,35.60869565217392
slippage,0.50%,0.7394079000000001,0.12687690000000007,-0.0744130999999999,-0.1471520999999999,-0.3446157687792195,95,0.48936170212765956,1.5024320922412762,34.395744680851074
reentry_recover_pct,off,0.6657158999999999,0.05318489999999987,-0.1481051000000001,-0.2208441000000001,-0.3737520435204059,115,0.44642857142857145,1.3987082924116183,32.90892857142857
reentry_recover_pct,0%,0.6657158999999999,0.05318489999999987,-0.1481051000000001,-0.2208441000000001,-0.3737520435204059,115,0.44642857142857145,1.3987082924116183,32.90892857142857
reentry_recover_pct,5%,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
reentry_recover_pct,10%,1.0090629,0.39653189999999994,0.19524189999999997,0.12250289999999997,-0.27744427784187325,81,0.525,1.9278219296487176,35.5925
signal_weights,baseline,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
signal_weights,no_1d,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
signal_weights,less_1d,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
signal_weights,more_volume,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
tk_stop_loss,5.0%,0.9621707999999999,0.34963979999999983,0.14834979999999987,0.07561079999999987,-0.2738704565769351,121,0.38333333333333336,1.774614927673046,24.641666666666666
tk_stop_loss,7.5%,0.9872485000000001,0.37471750000000004,0.17342750000000007,0.10068850000000007,-0.3096994469893693,105,0.46153846153846156,1.6997744624125508,30.319230769230767
tk_stop_loss,10.0%,0.9112532999999998,0.2987222999999998,0.0974322999999998,0.024693299999999807,-0.3459987261123358,91,0.5111111111111111,1.6455560895389079,37.971111111111114
tk_stop_loss,15.0%,0.8863846,0.2738535999999999,0.07256359999999995,-0.00017540000000004774,-0.3431196487871267,76,0.5945945945945946,1.7177503007765587,45.951351351351356
tk_take_profit,off,0.6900901999999999,0.07755919999999983,-0.12373080000000014,-0.19646980000000014,-0.421408804025735,27,0.3333333333333333,1.6155826104719289,138.39166666666665
tk_take_profit,15%,0.8315954999999999,0.21906449999999988,0.017774499999999915,-0.05496450000000008,-0.3408538305655595,113,0.5357142857142857,1.5663951067069264,29.010714285714283
tk_take_profit,20%,0.8833813,0.2708503,0.06956030000000002,-0.0031786999999999788,-0.3354341449582147,86,0.5,1.6815108850757858,39.13809523809524
tk_take_profit,30%,0.7624268,0.1498957999999999,-0.051394200000000057,-0.12413320000000005,-0.32346346452293373,75,0.4166666666666667,1.6658230757772463,44.641666666666666
tk_trailing_stop,off,0.9227244,0.31019339999999995,0.10890339999999998,0.036164399999999985,-0.3307648130707225,93,0.5,1.6593245017884701,35.858695652173914
tk_trailing_stop,10%,0.8207089999999999,0.20817799999999986,0.006887999999999894,-0.0658510000000001,-0.35343572530966155,145,0.4305555555555556,1.5094555068724633,24.444444444444443
tk_trailing_stop,15%,0.7533339000000001,0.14080290000000006,-0.060487099999999905,-0.1332260999999999,-0.3650488283621066,109,0.42592592592592593,1.5287426833077862,31.77407407407407
tk_max_holding_days,15d,0.8388354999999998,0.2263044999999998,0.02501449999999983,-0.04772450000000017,-0.35040684677059813,239,0.5462184873949579,1.49094390941331,13.504201680672267
tk_max_holding_days,30d,0.5585578,-0.053973200000000054,-0.2552632,-0.3280022,-0.3487581039262976,144,0.5211267605633803,1.4056612678376028,21.909859154929574
tk_max_holding_days,60d,0.8484864999999999,0.23595549999999987,0.034665499999999905,-0.03807350000000009,-0.3335608717751897,109,0.5185185185185185,1.6049985659442945,30.292592592592595
