date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-01-02,100000.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-03,11048.09,88863.04,99911.13,0.0,-88.87,-0.000889,-0.000889,-0.008167,-0.010581,-0.008784
2024-01-04,11048.09,88842.58,99890.67,0.0,-109.33,-0.000205,-0.001093,-0.011361,-0.015673,-0.009016
2024-01-05,11048.09,89086.6,100134.69,0.0,134.69,0.002443,0.001347,-0.010007,-0.014506,-0.006295
2024-01-08,11048.09,91872.46,102920.55,0.0,2920.55,0.027821,0.029205,0.004126,0.005862,0.024784
2024-01-09,11048.09,93175.83,104223.92,0.0,4223.92,0.012664,0.042239,0.002602,0.007849,0.039336
2024-01-10,11048.09,94937.29,105985.38,0.0,5985.38,0.016901,0.059854,0.008273,0.01468,0.058994
2024-01-11,11048.09,95632.53,106680.62,0.0,6680.62,0.00656,0.066806,0.007828,0.016791,0.066747
2024-01-12,11048.09,96328.52,107376.61,0.0,7376.61,0.006524,0.073766,0.008526,0.017313,0.074504
2024-01-16,11048.09,96820.37,107868.46,0.0,7868.46,0.004581,0.078685,0.004824,0.017214,0.079995
2024-01-17,11048.09,95503.17,106551.26,0.0,6551.26,-0.012211,0.065513,-0.000762,0.011476,0.065297
2024-01-18,11048.09,97340.49,108388.58,0.0,8388.58,0.017244,0.083886,0.008124,0.025833,0.085786
2024-01-19,11048.09,98905.88,109953.97,0.0,9953.97,0.014442,0.09954,0.020692,0.046176,0.103251
2024-01-22,47149.81,63701.0,110850.81,6504.58,4346.22,0.008157,0.108508,0.02285,0.047542,0.113655
2024-01-23,14119.84,97390.0,111509.84,6504.58,5005.26,0.005945,0.115098,0.025833,0.051889,0.11949
2024-01-24,14119.84,98734.95,112854.79,6504.58,6350.2,0.012061,0.128548,0.026955,0.057726,0.134818
2024-01-25,14119.84,98363.1,112482.93,6504.58,5978.35,-0.003295,0.124829,0.03254,0.059018,0.129906
2024-01-26,14119.84,97833.82,111953.66,6504.58,5449.07,-0.004705,0.119537,0.031228,0.052709,0.12365
