parameter,value,total_return,excess_vs_spy,excess_vs_qqq,excess_vs_equal_weight,max_drawdown,total_trades,win_rate,profit_factor,avg_holding_period
max_total_exposure,50%,25.1252896,17.9313106,16.859134599999997,-75.2267454,-0.48316111012085866,1232,0.4739413680781759,1.654411995554533,66.92589576547232
max_total_exposure,70%,70.4400403,63.24606130000001,62.17388530000001,-29.911994699999994,-0.5064320374659226,1673,0.49459783913565425,1.7583446353247116,68.631212484994
max_total_exposure,90%,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
max_total_exposure,100%,158.1923915,150.9984125,149.92623650000002,57.84035650000001,-0.6197373377007113,2734,0.48384728340675476,1.9232145994016312,53.95484581497797
max_position_pct,4.25%,75.4498406,68.2558616,67.1836856,-24.9021944,-0.5818435656619563,4129,0.4944038929440389,1.8357178726496841,68.23080291970803
max_position_pct,8.50%,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
max_position_pct,12.75%,535.8321939,528.6382149,527.5660389,435.4801589,-0.6236083029889591,2128,0.47973609802073514,1.7855580341851123,44.46908576814326
max_position_pct,17.00%,135.1241968,127.9302178,126.8580418,34.77216179999999,-0.6845838735015254,1915,0.49109947643979057,1.7310627027711643,35.72743455497382
max_position_pct,25.50%,75.94614469999999,68.75216569999999,67.6799897,-24.40589030000001,-0.6411417738503049,1940,0.49793388429752067,1.3594937748799791,22.244111570247938
max_new_trades_per_day,1,343.0055163,335.8115373,334.7393613,242.6534813,-0.5667381996122951,2479,0.491497975708502,1.9849282713891463,57.781943319838064
max_new_trades_per_day,2,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
max_new_trades_per_day,3,303.6333316,296.4393526,295.3671766,203.28129660000002,-0.6070599666573744,2503,0.483560545308741,2.0262724707642445,57.51002405773857
max_new_trades_per_day,5,223.48727920000002,216.2933002,215.22112420000002,123.13524420000002,-0.5998154237747172,2576,0.475448168355417,1.9695179349844976,56.09508963367109
min_composite_score,none,122.53855970000001,115.34458070000001,114.27240470000001,22.186524700000007,-0.6410614325378182,2572,0.47306791569086654,1.8251447356388983,55.7975800156128
min_composite_score,0.60,122.53855970000001,115.34458070000001,114.27240470000001,22.186524700000007,-0.6410614325378182,2572,0.47306791569086654,1.8251447356388983,55.7975800156128
min_composite_score,0.70,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
slippage,0.05%,281.0704192,273.8764402,272.8042642,180.7183842,-0.61560349863014,2507,0.5068054443554844,1.986649414077651,57.15828662930344
slippage,0.10%,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
slippage,0.20%,162.7843367,155.5903577,154.5181817,62.43230170000001,-0.6243186934650573,2550,0.4811023622047244,1.7728590553333476,56.26385826771654
slippage,0.50%,87.6224772,80.4284982,79.35632220000001,-12.729557799999995,-0.6369870107535187,2513,0.4720447284345048,1.7738755085989688,56.69049520766773
reentry_recover_pct,off,310.9793104,303.78533139999996,302.71315539999995,210.62727539999997,-0.6203454174752165,2526,0.4813343923749007,1.856533791056713,57.08554408260525
reentry_recover_pct,0%,310.9793104,303.78533139999996,302.71315539999995,210.62727539999997,-0.6203454174752165,2526,0.4813343923749007,1.856533791056713,57.08554408260525
reentry_recover_pct,5%,148.0238713,140.82989229999998,139.7577163,47.671836299999995,-0.6500734457188563,2540,0.48300395256916995,2.046677900555822,56.69090909090909
reentry_recover_pct,10%,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
stop_loss_score_max,off,214.91833559999998,207.72435659999996,206.65218059999998,114.56630059999998,-0.6021067260573326,2518,0.49760765550239233,1.8134162041178432,57.17719298245614
stop_loss_score_max,0.85,178.45636420000002,171.2623852,170.19020920000003,78.10432920000002,-0.5794593470108447,2550,0.4874015748031496,1.9987488058236524,56.445275590551184
stop_loss_score_max,0.90,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
stop_loss_score_max,0.95,122.977303,115.78332400000001,114.71114800000001,22.625268000000005,-0.5949319390869366,2536,0.4885193982581156,1.7771563903857874,56.58812351543942
max_hold_score_max,off,84.5214976,77.3275186,76.2553426,-15.830537399999997,-0.5768873072763955,2552,0.4846577498033045,1.8290892110368104,56.192210857592436
max_hold_score_max,0.70,132.8561858,125.66220679999999,124.5900308,32.50415079999999,-0.6043498866116412,2523,0.48289578361177404,1.5946963986243816,56.47732696897375
max_hold_score_max,0.80,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
max_hold_score_max,0.90,150.6908643,143.49688529999997,142.4247093,50.338829299999986,-0.6186281922659724,2543,0.48303078137332284,1.7906028126003872,56.5880820836622
score_exit_below,off,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
score_exit_below,0.40,102.2704543,95.0764753,94.0042993,1.9184192999999965,-0.5669477905837381,4379,0.4631578947368421,1.6847293117392397,31.832494279176203
score_exit_below,0.50,64.8450973,57.65111830000001,56.57894230000001,-35.506937699999995,-0.6360560908693634,6643,0.4540247211335544,1.5551811399921402,20.741000904431715
score_exit_below,0.60,20.375644100000002,13.181665100000004,12.109489100000003,-79.9763909,-0.7578205491751037,10957,0.44903178662769455,1.350253193310507,12.24742418706613
score_entry_above,off,131.4395196,124.24554060000001,123.17336460000001,31.08748460000001,-0.6251797797497213,2166,0.49443413729128016,1.75373418435591,67.4017625231911
score_entry_above,0.80,209.3960734,202.2020944,201.1299184,109.0440384,-0.6044622671620742,4914,0.47553017944535075,1.6747832980390673,28.495228384991844
score_entry_above,0.85,224.87306370000002,217.6790847,216.60690870000002,124.52102870000002,-0.6395471075625735,3333,0.4723225030084236,1.7138208882798946,42.587003610108304
score_entry_above,0.90,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
target_vol,off,187.2353909,180.04141189999999,178.9692359,86.8833559,-0.6310484445288334,2579,0.4801556420233463,1.7044626639890321,55.32163424124513
target_vol,15%,88.4401736,81.2461946,80.1740186,-11.911861400000006,-0.5117762651411956,2187,0.5110091743119266,1.9292481959350758,66.70238532110092
target_vol,20%,122.41293089999999,115.2189519,114.1467759,22.06089589999999,-0.6000809518212655,2307,0.48128807658833767,2.4073104554135845,63.014360313315926
target_vol,25%,109.86047369999999,102.66649469999999,101.59431869999999,9.508438699999985,-0.6716158094767246,2448,0.47333880229696473,1.8097113308594852,59.193109105824455
target_vol,30%,142.766187,135.572208,134.500032,42.414152,-0.6179785874370171,2465,0.46824104234527686,1.8858244845475136,58.281351791530945
target_vol,35%,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
signal_weights,baseline,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
signal_weights,no_1d,180.88919030000002,173.6952113,172.62303530000003,80.53715530000002,-0.6260351671566634,2818,0.48361823361823364,1.9517574204999903,50.86887464387464
signal_weights,less_1d,181.2285047,174.0345257,172.9623497,80.8764697,-0.5794593470108447,2516,0.4772545889864326,1.7975407360260853,57.14134078212291
signal_weights,more_volume,192.8809376,185.6869586,184.6147826,92.52890260000001,-0.6310608242638562,2347,0.49529512403763903,1.863539146817398,61.76159110350727
