date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return,forecast_vol,exposure_mult
2000-01-03,100000.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0
2000-01-04,84588.64,15395.98,99984.62,0.0,-15.38,-0.000154,-0.000154,-0.039106,-0.068602,-0.047592,,1.0
2000-01-05,67809.2,31492.28,99301.48,0.0,-698.52,-0.006832,-0.006985,-0.037387,-0.092349,-0.041854,,1.0
2000-01-06,51756.22,45430.62,97186.84,0.0,-2813.16,-0.021295,-0.028132,-0.052857,-0.154684,-0.049578,,1.0
2000-01-07,25965.48,73264.03,99229.51,0.0,-770.49,0.021018,-0.007705,0.00215,-0.050132,0.032243,,1.0
2000-01-10,9460.62,89008.45,98469.07,0.0,-1530.93,-0.007663,-0.015309,0.005587,-0.023747,0.045533,,1.0
2000-01-11,9460.62,85023.56,94484.18,0.0,-5515.82,-0.040468,-0.055158,-0.006446,-0.07124,0.014133,,1.0
2000-01-12,1171.59,93329.13,94500.72,0.0,-5499.29,0.000175,-0.054993,-0.016329,-0.091689,0.016734,,1.0
2000-01-13,13891.36,83007.27,96898.63,-4677.61,1576.23,0.025375,-0.031014,-0.003008,-0.036939,0.042889,,1.0
2000-01-14,4867.4,95668.85,100536.25,-4677.61,5213.86,0.03754,0.005362,0.010529,-0.014512,0.075217,,1.0
2000-01-18,4867.4,94655.52,99522.92,-4677.61,4200.53,-0.010079,-0.004771,0.002578,-0.009235,0.078026,,1.0
2000-01-19,4867.4,95452.23,100319.63,-4677.61,4997.24,0.008005,0.003196,0.010744,0.013192,0.102822,,1.0
2000-01-20,4867.4,96745.05,101612.45,-4677.61,6290.06,0.012887,0.016124,-0.004726,0.003298,0.113311,,1.0
2000-01-21,12530.98,88488.89,101019.87,-5093.21,6113.08,-0.005832,0.010199,-0.006875,0.015831,0.125634,,1.0
2000-01-24,2966.42,93981.77,96948.19,-5093.21,2041.4,-0.040306,-0.030518,-0.035024,-0.032982,0.132697,,1.0
2000-01-25,2966.42,98086.07,101052.49,-5093.21,6145.7,0.042335,0.010525,-0.024065,-0.01847,0.152646,,1.0
2000-01-26,8845.23,87547.71,96392.94,-6874.51,3267.46,-0.04611,-0.036071,-0.031801,-0.058048,0.115097,,1.0
2000-01-27,8845.23,83701.8,92547.03,-6874.51,-578.45,-0.039898,-0.07453,-0.035668,-0.044195,0.079413,,1.0
2000-01-28,27854.72,60266.47,88121.19,-13193.25,1314.45,-0.047823,-0.118788,-0.06575,-0.092349,0.025411,,1.0
2000-01-31,12489.97,76004.85,88494.82,-13193.25,1688.08,0.00424,-0.115052,-0.040395,-0.05343,0.057564,,1.0
2000-02-01,4789.64,86238.71,91028.35,-13193.25,4221.62,0.028629,-0.089716,-0.030941,-0.028034,0.107805,,1.0
2000-02-02,4789.64,86616.7,91406.34,-13193.25,4599.6,0.004152,-0.085937,-0.030081,-0.019789,0.10742,,1.0
2000-02-03,4789.64,90546.85,95336.49,-13193.25,8529.76,0.042996,-0.046635,-0.01547,0.01847,0.15484,,1.0
2000-02-04,4789.64,90550.54,95340.18,-13193.25,8533.44,3.9e-05,-0.046598,-0.019553,0.025396,0.159212,,1.0
2000-02-07,4789.64,91646.2,96435.84,-13193.25,9629.1,0.011492,-0.035642,-0.021056,0.039577,0.162955,,1.0
2000-02-08,4789.64,92579.53,97369.17,-13193.25,10562.43,0.009678,-0.026308,-0.007735,0.083113,0.190839,,1.0
2000-02-09,4789.64,90597.01,95386.65,-13193.25,8579.91,-0.020361,-0.046134,-0.028577,0.044855,0.175636,,1.0
2000-02-10,11917.86,85040.73,96958.59,-13730.49,10689.09,0.01648,-0.030414,-0.026644,0.079155,0.193348,,1.0
2000-02-11,3760.56,91711.1,95471.66,-13730.49,9202.16,-0.015336,-0.045283,-0.046411,0.054089,0.174325,,1.0
2000-02-14,3760.56,91382.42,95142.98,-13730.49,8873.48,-0.003443,-0.04857,-0.040825,0.05277,0.1908,,1.0
2000-02-15,3760.56,91499.68,95260.24,-13730.49,8990.74,0.001232,-0.047398,-0.029974,0.060356,0.183494,,1.0
2000-02-16,3760.56,91728.56,95489.12,-13730.49,9219.61,0.002403,-0.045109,-0.044263,0.055408,0.178787,0.392229,0.8923
2000-02-17,3760.56,93249.38,97009.94,-13730.49,10740.44,0.015927,-0.029901,-0.049204,0.077836,0.2062,0.388829,0.9001
2000-02-18,10888.4,82789.51,93677.91,-15116.76,8794.68,-0.034347,-0.063221,-0.069617,0.038918,0.174518,0.393867,0.8886
2000-02-22,10888.4,82853.27,93741.67,-15116.76,8858.44,0.000681,-0.062583,-0.071981,0.042216,0.184255,0.387907,0.9023
2000-02-23,10888.4,84029.99,94918.39,-15116.76,10035.17,0.012553,-0.050816,-0.061022,0.100263,0.204346,0.384044,0.9114
2000-02-24,10888.4,84874.36,95762.76,-15116.76,10879.53,0.008896,-0.042372,-0.079931,0.12401,0.212221,0.37946,0.9224
2000-02-25,10888.4,83723.16,94611.56,-15116.76,9728.33,-0.012021,-0.053884,-0.083262,0.098285,0.180024,0.375272,0.9327
2000-02-28,10888.4,82828.93,93717.33,-15116.76,8834.1,-0.009452,-0.062827,-0.06403,0.097625,0.169722,0.370772,0.944
2000-02-29,10888.4,86202.29,97090.69,-15116.76,12207.46,0.035995,-0.029093,-0.055006,0.126649,0.226175,0.378033,0.9258
2000-03-01,10888.4,87080.99,97969.39,-15116.76,13086.17,0.00905,-0.020306,-0.04813,0.135884,0.230175,0.373921,0.936
2000-03-02,10888.4,83994.4,94882.8,-15116.76,9999.57,-0.031506,-0.051172,-0.047486,0.109581,0.214479,0.377265,0.9277
2000-03-03,10888.4,90151.35,101039.75,-15116.76,16156.53,0.06489,0.010398,-0.029651,0.172163,0.262921,0.406091,0.8619
2000-03-06,10888.4,90853.24,101741.64,-15116.76,16858.41,0.006947,0.017416,-0.039106,0.181398,0.264928,0.401524,0.8717
2000-03-07,17274.69,84446.04,101720.73,-16429.76,18150.51,-0.000206,0.017207,-0.057692,0.163588,0.260886,0.396834,0.882
2000-03-08,17274.69,84213.0,101487.69,-16429.76,17917.46,-0.002291,0.014877,-0.058874,0.174142,0.258626,0.392362,0.892
2000-03-09,17274.69,87024.28,104298.97,-16429.76,20728.75,0.027701,0.04299,-0.03137,0.21372,0.31241,0.393119,0.8903
2000-03-10,17274.69,86929.54,104204.23,-16429.76,20634.0,-0.000908,0.042042,-0.036527,0.208443,0.360417,0.388854,0.9001
2000-03-13,17274.69,84270.02,101544.71,-16429.76,17974.48,-0.025522,0.015447,-0.047056,0.176781,0.343308,0.389526,0.8985
2000-03-14,17274.69,80635.36,97910.05,-16429.76,14339.82,-0.035794,-0.020899,-0.060592,0.133245,0.248598,0.394191,0.8879
2000-03-15,17274.69,79728.17,97002.86,-16429.76,13432.63,-0.009266,-0.029971,-0.038676,0.085752,0.247137,0.390686,0.8959
2000-03-16,17274.69,82315.16,99589.85,-16429.76,16019.62,0.026669,-0.004101,0.006232,0.147757,0.293441,0.391382,0.8943
2000-03-17,17274.69,83981.55,101256.24,-16429.76,17686.01,0.016733,0.012562,0.012882,0.169524,0.326584,0.389228,0.8992
2000-03-20,17274.69,83651.38,100926.07,-16429.76,17355.84,-0.003261,0.009261,0.007712,0.136544,0.304808,0.385556,0.9078
2000-03-21,17274.69,85577.87,102852.56,-16429.76,19282.33,0.019088,0.028526,0.028392,0.179419,0.326165,0.384015,0.9114
2000-03-22,17274.69,88967.8,106242.49,-16429.76,22672.26,0.032959,0.062425,0.034639,0.203166,0.367127,0.386617,0.9053
2000-03-23,17274.69,89511.86,106786.55,-16429.76,23216.32,0.005121,0.067866,0.052303,0.224274,0.377334,0.383168,0.9134
2000-03-24,17274.69,89239.64,106514.33,-16429.76,22944.1,-0.002549,0.065143,0.05855,0.240765,0.376105,0.379825,0.9215
2000-03-27,17274.69,91360.89,108635.58,-16429.76,25065.35,0.019915,0.086356,0.047347,0.242743,0.374089,0.378454,0.9248
2000-03-28,17274.69,89311.23,106585.92,-16429.76,23015.7,-0.018867,0.065859,0.041317,0.211082,0.334649,0.377579,0.927
2000-03-29,17274.69,83727.71,101002.4,-16429.76,17432.18,-0.052385,0.010024,0.042394,0.160949,0.288217,0.390232,0.8969
2000-03-30,17274.69,83063.86,100338.55,-16429.76,16768.33,-0.006573,0.003386,0.024945,0.131926,0.257724,0.387231,0.9039
2000-03-31,17274.69,84787.05,102061.74,-16429.76,18491.51,0.017174,0.020617,0.036578,0.155673,0.292258,0.385539,0.9078
2000-04-03,24472.24,74249.9,98722.14,-18256.17,16978.32,-0.032721,-0.012779,0.042609,0.086411,0.234265,0.388187,0.9016
2000-04-04,17082.42,81097.59,98180.01,-18256.17,16436.19,-0.005491,-0.0182,0.034854,0.075857,0.23619,0.385254,0.9085
2000-04-05,17082.42,84451.09,101533.51,-18256.17,19789.69,0.034157,0.015335,0.028392,0.056728,0.288831,0.388102,0.9018
2000-04-06,17082.42,88285.33,105367.75,-18256.17,23623.93,0.037763,0.053678,0.037331,0.081794,0.321219,0.391918,0.893
2000-04-07,17082.42,92324.88,109407.3,-18256.17,27663.48,0.038338,0.094073,0.043902,0.12533,0.359905,0.395588,0.8848
2000-04-10,17082.42,87822.5,104904.92,-18256.17,23161.1,-0.041152,0.049049,0.039809,0.056728,0.291638,0.401177,0.8724
2000-04-11,17082.42,86095.55,103177.97,-18256.17,21434.15,-0.016462,0.03178,0.036793,0.031662,0.274081,0.399615,0.8758
2000-04-12,24097.12,76198.8,100295.92,-19667.15,19963.08,-0.027933,0.002959,0.008358,-0.029024,0.210801,0.400429,0.8741
2000-04-13,16662.55,79718.81,96381.36,-19667.15,16048.52,-0.03903,-0.036186,-0.005644,-0.07124,0.17084,0.404424,0.8654
2000-04-14,23743.79,65387.71,89131.5,-21140.53,10272.05,-0.075221,-0.108685,-0.062514,-0.151715,0.065175,0.425387,0.8228
2000-04-17,17290.99,78958.89,96249.88,-21140.53,17390.43,0.079864,-0.037501,-0.02977,-0.05409,0.15152,0.448495,0.7804
2000-04-18,17290.99,82675.5,99966.49,-21140.53,21107.04,0.038614,-0.000335,-0.004136,-0.029024,0.228904,0.451114,0.7759
2000-04-19,17290.99,79010.65,96301.64,-21140.53,17442.19,-0.036661,-0.036984,-0.013399,-0.058707,0.17805,0.453175,0.7723
2000-04-20,17290.99,79115.09,96406.08,-21140.53,17546.63,0.001085,-0.035939,-0.008659,-0.079155,0.179277,0.450149,0.7775
2000-04-24,17290.99,79785.7,97076.69,-21140.53,18217.24,0.006956,-0.029233,-0.019431,-0.105541,0.15207,0.447359,0.7824
2000-04-25,17290.99,84640.53,101931.52,-21140.53,23072.06,0.05001,0.019315,0.021284,-0.045185,0.227212,0.453441,0.7719
2000-04-26,17290.99,81656.03,98947.02,-21140.53,20087.57,-0.029279,-0.01053,0.009758,-0.077837,0.195942,0.453685,0.7715
2000-04-27,17290.99,85295.49,102586.48,-21140.53,23727.03,0.036782,0.025865,0.006419,-0.036939,0.254774,0.455438,0.7685
2000-04-28,17290.99,86135.94,103426.93,-21140.53,24567.48,0.008193,0.034269,0.000172,0.0,0.270862,0.452774,0.773
2000-05-01,17290.99,87077.67,104368.66,-21140.53,25509.21,0.009105,0.043687,0.013743,0.009234,0.289822,0.450205,0.7774
2000-05-02,17290.99,84885.92,102176.91,-21140.53,23317.46,-0.021,0.021769,-0.006506,-0.048813,0.246538,0.449079,0.7794
2000-05-03,17290.99,82663.85,99954.84,-21140.53,21095.39,-0.021747,-0.000452,-0.02977,-0.059367,0.217363,0.448049,0.7812
2000-05-04,17290.99,83279.71,100570.7,-21140.53,21711.25,0.006161,0.005707,-0.022446,-0.057388,0.192632,0.445485,0.7857
2000-05-05,17290.99,85216.84,102507.83,-21140.53,23648.38,0.019261,0.025078,-0.010598,-0.034961,0.214954,0.444025,0.7882
2000-05-08,17290.99,82178.95,99469.94,-21140.53,20610.49,-0.029636,-0.005301,-0.01803,-0.072559,0.174568,0.44444,0.7875
2000-05-09,27635.26,69892.27,97527.53,-18547.5,16075.06,-0.019528,-0.024725,-0.025893,-0.092349,0.141561,0.443153,0.7898
2000-05-10,34436.91,59547.83,93984.74,-20034.88,14019.65,-0.036326,-0.060153,-0.047865,-0.158311,0.084861,0.444871,0.7867
2000-05-11,21895.12,75020.35,96915.47,-20034.88,16950.38,0.031183,-0.030845,-0.026108,-0.106861,0.12162,0.445492,0.7856
2000-05-12,43980.44,52595.99,96576.43,-6342.92,2919.38,-0.003498,-0.034236,-0.015554,-0.106861,0.13132,0.44305,0.79
2000-05-15,30666.9,66754.0,97420.9,-6342.92,3763.85,0.008744,-0.025791,0.001465,-0.067942,0.152907,0.440846,0.7939
2000-05-16,23909.19,75175.2,99084.39,-6342.92,5427.33,0.017075,-0.009156,0.011158,-0.041557,0.193227,0.439333,0.7967
2000-05-17,23909.19,74894.1,98803.29,-6342.92,5146.24,-0.002837,-0.011967,0.000603,-0.061346,0.187076,0.436995,0.8009
2000-05-18,23909.19,74260.61,98169.8,-6342.92,4512.74,-0.006412,-0.018302,-0.011675,-0.094987,0.165443,0.434799,0.805
